Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Duration (d),Source,Year,Month,Landslide
LA2003,LANDSLIDE,lka009,lka009002,lka009002024,Pelempitiya(GN),Kegalle,2003-04-27,0,Ds Office,2003,4,1
LA2003,LANDSLIDE,lka009,lka009002,lka009002015,Palagala Watta,Kegalle,2003-11-21,0,DI2003.12.13P05,2003,11,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002033,Udabage(GN),Kegalle,2005-04-27,0,Ds Office,2005,4,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002012,Meepitiya(GN),Kegalle,2005-05-09,0,DI20050906P5,2005,5,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Debangama Udabage(GN),Kegalle,2005-06-11,0,Ds Office,2005,6,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Getaberiya Kanda(GN),Kegalle,2005-06-11,0,DS OFFICE,2005,6,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Podape(GN),Kegalle,2005-07-11,0,Ds Office,2005,7,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Selawa East(GN),Kegalle,2005-08-11,0,Ds Office,2005,8,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002033,Behenella(GN),Kegalle,2005-09-03,0,DS OFFICE,2005,9,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Aranayaka(GN),Kegalle,2005-11-19,0,Ds Office,2005,11,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Rahala(GN),Kegalle,2005-11-22,0,Ds Office,2005,11,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Ambalakanda(GN),Kegalle,2005-11-24,0,DS OFFICE,2005,11,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Hathgampala(GN),Kegalle,2005-11-24,0,Ds Office,2005,11,1
LA2005,LANDSLIDE,lka009,lka009002,lka009002009,Randiligama(GN),Kegalle,2005-11-24,0,Ds Office,2005,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002015,Andara(GN),Kegalle,2006-04-12,0,DI20061206,2006,4,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Wadumulla,Kegalle,2006-04-12,0,DS OFFICE,2006,4,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Wathura(GN),Kegalle,2006-04-12,0,DI2006/12/06,2006,4,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Wadumulla,Kegalle,2006-06-12,0,DI20061206,2006,6,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002027,Amanawala(GN),Kegalle,2006-06-20,0,DS OFFICE,2006,6,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002027,Hakbellawaka(GN),Kegalle,2006-06-20,0,DS OFFICE,2006,6,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002027,Kithulgala North(GN),Kegalle,2006-06-20,0,DS OFFICE,2006,6,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002027,Malalpola(GN),Kegalle,2006-06-20,0,DS OFFICE,2006,6,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002027,Yatiyanthota(GN),Kegalle,2006-06-20,0,DS OFFICE,2006,6,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002027,,Kegalle,2006-06-20,0,Ds Office,2006,6,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002006,Randiwala(GN),Kegalle,2006-08-12,0,Ds Office,2006,8,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Alawathura(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Ambamalla(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Ambuwakka(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002021,Amithirigala South(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002021,Batuvita(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Bulathkohupitiya(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002021,Daluwalana(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002033,Deraniyagala South (GN),Kegalle,2006-10-23,0,LANKADEEPA20061027/DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002021,Gonaramba(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Haloluwa(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002021,Kadigamuwa(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Kananagamuwa(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Kendawa(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002021,Lewangama North(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002033,Miyanavita(GN),Kegalle,2006-10-23,0,Ds Office,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Narangala (GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Neluwakkana(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Nevimiyar Ihala(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002021,Palle Kanugala(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Panapitiya(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Punehela(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Punehela(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Puspane(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Rangalla(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Udapotha(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Uduwa (GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,Urumeewala(GN),Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002033,Wattegedara(GN),Kegalle,2006-10-23,0,Ds Office,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,,Kegalle,2006-10-23,0,Ds Office,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002021,,Kegalle,2006-10-23,0,DS OFFICE,2006,10,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Alapalawala(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Dikella(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Eregama(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Ganthuna Pallegama(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Godigamuwa(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Golahela(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Kegall Town(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Meepitiya(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Nilapalagammana(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Paranagampola(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Puwakdeniya(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Siyambalapitiya(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Udumagama(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Udumalama(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Undugoda(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Wathura(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,,Kegalle,2006-11-10,0,Ds Office,2006,11,1
RA2006,RAINS,lka009,lka009002,lka009002012,Diyagama(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
RA2006,RAINS,lka009,lka009002,lka009002012,Ranwala(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Ruwandeniya(GN),Kegalle,2006-11-13,0,Ds Office,2006,11,1
