Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Flood
FL2000,FLOOD,lka008,lka008001,lka008001006,Rideemaliyadda,Badulla,2000-01-01,2000,1,1
FL2000,FLOOD,lka008,lka008001,lka008001006,Nagadeepa(GN),Badulla,2000-01-01,2000,1,1
FL2000,FLOOD,lka008,lka008001,lka008001003,Mapakadawewa(GN),Badulla,2000-01-01,2000,1,1
FL2000,FLOOD,lka005,lka005002,lka005002051,,Ampara,2000-01-01,2000,1,1
FL2000,FLOOD,lka005,lka005002,lka005002051,Lahugala,Ampara,2000-01-01,2000,1,1
FL2000,FLOOD,lka008,lka008001,lka008001003,Mahiyanganaya,Badulla,2000-01-01,2000,1,1
FL2000,FLOOD,lka005,lka005002,lka005002051,"Lahugala,Panama(GN)",Ampara,2000-01-02,2000,1,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-01-05,2000,1,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-01-11,2000,1,1
FL2000,FLOOD,lka007,lka007002,lka007002015,Thamankaduwa,Polannaruwa,2000-01-13,2000,1,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-01-13,2000,1,1
FL2000,FLOOD,lka007,lka007002,lka007002015,,Polannaruwa,2000-01-13,2000,1,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-01-14,2000,1,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-01-20,2000,1,1
FL2000,FLOOD,lka005,lka005002,lka005002051,Lahugala,Ampara,2000-02-01,2000,2,1
RA2000,HEAVY RAINS,lka003,lka003003,lka003003003,Sooriyawewa,Hmabantota,2000-02-04,2000,2,1
FL2000,FLOOD,lka005,lka005002,lka005002048,Pothuvil,Ampara,2000-02-04,2000,2,1
RA2000,HEAVY RAINS,lka003,lka003003,lka003003015,Ambalantota,Hmabantota,2000-02-04,2000,2,1
FL2000,FLOOD,lka005,lka005002,lka005002015,Ampara,Ampara,2000-02-04,2000,2,1
FL2000,FLOOD,lka005,lka005002,lka005002045,Thirukkovil,Ampara,2000-02-04,2000,2,1
FL2000,FLOOD,lka005,lka005002,lka005002036,Akkaraipattu(Karunkoditivu),Ampara,2000-02-04,2000,2,1
FL2000,FLOOD,lka005,lka005002,,,Ampara,2000-02-04,2000,2,1
FL2000,FLOOD,lka005,lka005002,lka005002033,Addalachchenai,Ampara,2000-02-04,2000,2,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-02-06,2000,2,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-02-08,2000,2,1
RA2000,HEAVY RAINS,lka004,lka004003,lka004003009,Vavuniya(Tamil),Vavuniya,2000-02-10,2000,2,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-02-21,2000,2,1
RA2000,HEAVY RAINS,lka007,lka007002,lka007002010,Welikanda,Polannaruwa,2000-02-24,2000,2,1
RA2000,HEAVY RAINS,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-02-25,2000,2,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-03-10,2000,3,1
RA2000,HEAVY RAINS,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-03-24,2000,3,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-25,2000,3,1
RA2000,HEAVY RAINS,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-03-28,2000,3,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-04-01,2000,4,1
FL2000,FLOOD,lka005,lka005002,lka005002033,,Ampara,2000-04-02,2000,4,1
FL2000,FLOOD,lka005,lka005002,lka005002015,,Ampara,2000-04-02,2000,4,1
FL2000,FLOOD,lka005,lka005002,lka005002036,,Ampara,2000-04-02,2000,4,1
FL2000,FLOOD,lka005,lka005002,lka005002045,,Ampara,2000-04-02,2000,4,1
FL2000,FLOOD,lka005,lka005002,lka005002048,,Ampara,2000-04-02,2000,4,1
FL2000,FLOOD,lka005,lka005002,,,Ampara,2000-04-02,2000,4,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-04-08,2000,4,1
FL2000,FLOOD,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-04-08,2000,4,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-04-11,2000,4,1
RA2000,HEAVY RAINS,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-04-25,2000,4,1
RA2000,HEAVY RAINS,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-04-26,2000,4,1
FL2000,FLOOD,lka002,lka002002,lka002002024,Kaluganga(GN),Matale,2000-05-12,2000,5,1
FL2000,FLOOD,lka002,lka002002,lka002002024,Karadamulla(GN),Matale,2000-05-12,2000,5,1
RA2000,HEAVY RAINS,lka008,lka008002,lka008002015,Moneragala,Monaragala,2000-05-30,2000,5,1
RA2000,HEAVY RAINS,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-06-05,2000,6,1
RA2000,HEAVY RAINS,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-06-19,2000,6,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-13,2000,7,1
RA2000,HEAVY RAINS,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-14,2000,7,1
