Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Cyclone
GA2000,GALE,lka009,lka009001,lka009001015,Rawanakanda(GN),Ratnapura,2000-01-03,2000,1,1
GA2000,STRONG WIND,lka005,lka005002,lka005002003,Dehiattakandiya,Ampara,2000-01-05,2000,1,1
GA2000,GALE,lka003,lka003001,lka003001027,Wanduramba(GN),Galle,2000-01-06,2000,1,1
40003,STRONG WIND,lka002,lka002003,lka002003003,Pundaluoya(GN),Nuwara Eliya,2000-01-12,2000,1,0
ST2000,STRONG WIND,lka002,lka002003,lka002003003,Pundaluoya(GN),Nuwara Eliya,2000-01-18,2000,1,1
ST2000,STRONG WIND,lka002,lka002003,lka002003003,Kothmale,Nuwara Eliya,2000-01-18,2000,1,1
40001,STRONG WIND,lka005,lka005002,lka005002003,Dehiattakandiya,Ampara,2000-01-20,2000,1,0
40002,GALE,lka003,lka003001,lka003001027,Wanduramba(GN),Galle,2000-01-21,2000,1,0
40004,STRONG WIND,lka009,lka009001,lka009001018,Rassagala(GN),Ratnapura,2000-02-01,2000,2,0
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Rassagala(GN),Ratnapura,2000-02-07,2000,2,1
40007,STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-02-16,2000,2,0
40006,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-02-18,2000,2,0
40005,GALE,lka009,lka009001,lka009001015,Mamalgaha(GN),Ratnapura,2000-02-20,2000,2,0
GA2000,GALE,lka009,lka009001,lka009001015,Mamalgaha(GN),Ratnapura,2000-02-23,2000,2,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-02-23,2000,2,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Yatipawwa(GN),Ratnapura,2000-02-25,2000,2,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-02-25,2000,2,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-01,2000,3,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-03,2000,3,1
GA2000,GALE,lka009,lka009001,lka009001015,Karadiyamulla(GN),Ratnapura,2000-03-03,2000,3,1
GA2000,GALE,lka009,lka009001,lka009001015,Karagasthalawa(GN),Ratnapura,2000-03-07,2000,3,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Bowatta(GN),Ratnapura,2000-03-07,2000,3,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-07,2000,3,1
40014,GALE,lka008,lka008002,lka008002012,Wattegama (GN),Monaragala,2000-03-09,2000,3,0
40008,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-11,2000,3,0
40012,GALE,lka009,lka009001,lka009001015,Karagasthalawa(GN),Ratnapura,2000-03-15,2000,3,0
40009,GALE,lka009,lka009001,lka009001015,Karadiyamulla(GN),Ratnapura,2000-03-20,2000,3,0
40010,STRONG WIND,lka009,lka009001,lka009001018,Bowatta(GN),Ratnapura,2000-03-20,2000,3,0
40011,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-22,2000,3,0
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-03-24,2000,3,1
GA2000,GALE,lka008,lka008002,lka008002012,Wattegama (GN),Monaragala,2000-03-24,2000,3,1
GA2000,GALE,lka008,lka008002,lka008002012,Madugama (GN),Monaragala,2000-03-24,2000,3,1
40013,GALE,lka008,lka008002,lka008002012,Madugama (GN),Monaragala,2000-03-27,2000,3,0
40015,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-03-31,2000,3,0
40018,STRONG WIND,lka005,lka005002,lka005002018,Samanthurai,Ampara,2000-04-01,2000,4,0
40016,STRONG WIND,lka009,lka009001,lka009001015,Kanathiriyanwela(GN),Ratnapura,2000-04-03,2000,4,0
40021,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-04-03,2000,4,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Kanathiriyanwela(GN),Ratnapura,2000-04-06,2000,4,1
GA2000,GALE,lka008,lka008002,lka008002012,Ambagahapitiya(GN),Monaragala,2000-04-09,2000,4,1
ST2000,STRONG WIND,lka005,lka005002,lka005002009,,Ampara,2000-04-10,2000,4,1
ST2000,STRONG WIND,lka005,lka005002,lka005002018,Samanthurai,Ampara,2000-04-12,2000,4,1
ST2000,STRONG WIND,lka005,lka005002,lka005002042,Damana,Ampara,2000-04-12,2000,4,1
40020,STRONG WIND,lka009,lka009001,lka009001015,Pandeniya(GN),Ratnapura,2000-04-15,2000,4,0
40017,STRONG WIND,lka005,lka005002,lka005002009,,Ampara,2000-04-16,2000,4,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-04-22,2000,4,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Pandeniya(GN),Ratnapura,2000-04-22,2000,4,1
40019,STRONG WIND,lka005,lka005002,lka005002042,Damana,Ampara,2000-04-23,2000,4,0
40022,GALE,lka008,lka008002,lka008002012,Ambagahapitiya (GN),Monaragala,2000-04-25,2000,4,0
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-04-26,2000,4,1
GA2000,GALE,lka008,lka008002,lka008002012,Ambagahapitiya (GN),Monaragala,2000-04-26,2000,4,1
GA2000,GALE,lka005,lka005002,lka005002003,"Paranagama(GN),Serupitiya(GN),Sadamadulla(GN)",Ampara,2000-05-01,2000,5,1
40026,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-05-02,2000,5,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Wegapitiya(GN),Ratnapura,2000-05-06,2000,5,1
GA2000,GALE,lka008,lka008002,lka008002012,Liyangolla (GN),Monaragala,2000-05-07,2000,5,1
40023,GALE,lka005,lka005002,lka005002003,"Paranagama(GN),Serupitiya(GN),Sadamadulla(GN)",Ampara,2000-05-12,2000,5,0
40029,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-05-12,2000,5,0
40027,STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-05-14,2000,5,0
40031,STRONG WIND,lka009,lka009001,lka009001048,Embilipitiya,Ratnapura,2000-05-16,2000,5,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Pandeniya(GN),Ratnapura,2000-05-20,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-05-20,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Hadukanda(GN),Ratnapura,2000-05-21,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-05-21,2000,5,1
40025,GALE,lka008,lka008002,lka008002012,Liyangolla (GN),Monaragala,2000-05-26,2000,5,0
40024,STRONG WIND,lka009,lka009001,lka009001015,Wegapitiya(GN),Ratnapura,2000-05-27,2000,5,0
40028,STRONG WIND,lka009,lka009001,lka009001009,Hadukanda(GN),Ratnapura,2000-05-27,2000,5,0
GA2000,GALE,lka008,lka008002,lka008002012,Siyambalanduwa (GN),Monaragala,2000-05-29,2000,5,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-05-29,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001048,Embilipitiya,Ratnapura,2000-05-30,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001048,,Ratnapura,2000-05-30,2000,5,1
40030,GALE,lka008,lka008002,lka008002012,Siyambalanduwa (GN),Monaragala,2000-05-31,2000,5,0
GA2000,STRONG WIND,lka003,lka003001,lka003001027,Baddegama,Galle,2000-06-01,2000,6,1
