Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month
FL2008,FLOOD,lka001,lka001002,lka001002018,Telangapatha (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka001,lka001002,lka001002018,Wattala (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka004,lka004001,lka004001003,Karampon West(GN),Jaffna,2008-03-19,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001003,Naranthanai North(GN),Jaffna,2008-03-19,2008,3
FL2000,FLOOD,lka007,lka007002,,,Polannaruwa,2000-11-19,2000,11
FL2008,FLOOD,lka004,lka004001,lka004001003,Naranthanai North West(GN),Jaffna,2008-03-19,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001003,Naranthanai (GN),Jaffna,2008-03-19,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001003,Naranthanai South(GN),Jaffna,2008-03-19,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001003,Suruvil(GN),Jaffna,2008-03-19,2008,3
FL2008,FLOOD,lka001,lka001002,lka001002018,Ewariwatta (GN),Gampaha,2008-02-06,2008,2
FL2007,FLOOD,lka001,lka001001,lka001001027,"Wijerama Mw, colombo 7/Cinaman Grand",Colombo,2007-03-05,2007,3
FL2008,FLOOD,lka004,lka004001,lka004001003,Puliyankoodal(GN),Jaffna,2008-03-19,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001021,Karanavai(GN),Jaffna,2008-03-26,2008,3
FL2008,FLOOD,lka004,lka004005,lka004005009,Anaivilunthankulam(GN),Kilinochchi,2008-10-03,2008,10
FL2008,FLOOD,lka001,lka001002,lka001002018,Uswetakeiyawa (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka003,lka003001,lka003001021,"Mawita(GN),Batuwangala West(GN),",Galle,2008-01-06,2008,1
FL2008,FLOOD,lka001,lka001002,lka001002018,Elapitiwala (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka003,lka003001,lka003001024,"Nagoda Ihala(GN),  Kurupanawa(GN)",Galle,2008-01-06,2008,1
FL2008,FLOOD,lka001,lka001002,lka001002018,Balagala (GN),Gampaha,2008-02-06,2008,2
FL2000,FLOOD,lka005,lka005002,lka005002051,,Ampara,2000-01-01,2000,1
RA2007,RAINS,lka002,lka002002,lka002002009,Rajawela(GN),Matale,2007-03-19,2007,3
FL2008,FLOOD,lka004,lka004001,lka004001021,Thunnalai West(GN),Jaffna,2008-03-26,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001021,Nelliyady North(GN),Jaffna,2008-03-26,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001042,Delft West(GN),Jaffna,2008-03-28,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001042,Delft South(GN),Jaffna,2008-03-28,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001042,Delft Centre West(GN),Jaffna,2008-03-28,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001042,Delft Centre(GN),Jaffna,2008-03-28,2008,3
FL2008,FLOOD,lka004,lka004001,lka004001042,Delft East(GN),Jaffna,2008-03-28,2008,3
RA2007,RAINS,lka002,lka002002,lka002002009,Wambatuyaya(GN),Matale,2007-12-21,2007,12
RA2007,RAINS,lka002,lka002002,lka002002009,Arangala(GN),Matale,2007-12-22,2007,12
FL2008,FLOOD,lka001,lka001002,lka001002018,Pattiyawala (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka003,lka003001,lka003001018,"Habarakada(GN),Hiniduma North(GN)",Galle,2008-01-06,2008,1
FL2008,FLOOD,lka001,lka001002,lka001002018,Welikadamulla (GN),Gampaha,2008-02-06,2008,2
FL2004,FLOOD,lka001,lka001003,lka001003003,,Kaluthara,2004-09-25,2004,9
RA2007,RAINS,lka002,lka002002,lka002002009,Nalanda(GN),Matale,2007-12-23,2007,12
RA2006,RAINS,lka002,lka002002,lka002002009,Pilihudugolla Ihalagama(GN),Matale,2006-12-24,2006,12
FL2008,FLOOD,lka001,lka001002,lka001002018,Mabola (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka003,lka003001,lka003001015,"Pitigala(GN),Pitigala North(GN),",Galle,2008-02-06,2008,2
FL2008,FLOOD,lka001,lka001002,lka001002018,Hendala South (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka003,lka003001,lka003001027,"Kotugoda(GN),Sandarawala(GN),Ganegama(GN),",Galle,2008-02-06,2008,2
FL2008,FLOOD,lka001,lka001002,lka001002018,Dikovita (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka003,lka003001,lka003001030,"Divithura South(GN),Pathawelivitiya North(GN),",Galle,2008-02-06,2008,2
FL2008,FLOOD,lka001,lka001002,lka001002018,Hendala North (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka003,lka003001,lka003001012,"Pahal Omatta(GN), Kahadoowa(GN), Goluwamulla(GN),",Galle,2008-03-06,2008,3
FL2008,FLOOD,lka001,lka001002,lka001002018,Matagoda (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka001,lka001002,lka001002018,Thimbirigasyaya (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka001,lka001002,lka001002018,Bopitiyathuduwa (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka001,lka001002,lka001002018,Bopitiya (GN),Gampaha,2008-02-06,2008,2
FL2008,FLOOD,lka001,lka001002,lka001002018,Delathura West (GN),Gampaha,2008-03-06,2008,3
FL2008,FLOOD,lka001,lka001002,lka001002018,Delathura East (GN),Gampaha,2008-03-06,2008,3
FL2008,FLOOD,lka004,lka004005,lka004005009,Periya Paranthan(GN),Kilinochchi,2008-10-03,2008,10
FL2008,FLOOD,lka003,lka003002,lka003002003,,Matara,2008-02-06,2008,2
FL2008,FLOOD,lka003,lka003002,lka003002024,"Kadduwa(GN),Kekunawela(GN),Maragoda(GN)",Matara,2008-01-06,2008,1
FL2008,FLOOD,lka003,lka003002,lka003002027,"Ihala Vitiyala North(GN),Ihala Vitiyala South(GN),",Matara,2008-01-06,2008,1
FL2006,FLOOD,lka002,lka002002,lka002002027,Perakanatta(GN),Matale,2006-12-19,2006,12
FL2008,FLOOD,lka003,lka003002,lka003002036,,Matara,2008-04-06,2008,4
FL2008,FLOOD,lka003,lka003002,lka003002042,,Matara,2008-01-06,2008,1
RA2007,RAINS,lka008,lka008002,lka008002006,Iluklanda (GN),Monaragala,2007-01-17,2007,1
RA2007,RAINS,lka008,lka008002,lka008002006,Dambagalla (GN),Monaragala,2007-01-14,2007,1
RA2007,RAINS,lka008,lka008002,lka008002003,"Lindakumbura (GN), Dehiattawela (GN), Kavudella (GN)        ",Monaragala,2007-12-23,2007,12
RA2007,RAINS,lka002,lka002002,lka002002027,Dewagiriya(GN),Matale,2007-01-19,2007,1
FL2008,FLOOD,lka001,lka001003,lka001003036,Kamburawala(GN),Kaluthara,2008-05-31,2008,5
FL2008,FLOOD,lka001,lka001003,lka001003036,Diggoda(GN),Kaluthara,2008-05-31,2008,5
RA2007,RAINS,lka002,lka002002,lka002002027,Dewagiriya(GN),Matale,2007-02-14,2007,2
RA2007,RAINS,lka002,lka002002,lka002002027,Nagolla(GN),Matale,2007-08-11,2007,8
RA2007,RAINS,lka002,lka002002,lka002002027,Nugagolla(GN),Matale,2007-05-01,2007,5
RA2007,RAINS,lka002,lka002002,lka002002027,80 Yaya(GN),Matale,2007-08-01,2007,8
RA2006,RAINS,lka002,lka002002,lka002002027,Wilgamuwa(GN),Matale,2006-12-28,2006,12
FL2008,FLOOD,lka001,lka001003,lka001003036,,Kaluthara,2008-05-31,2008,5
FL2008,FLOOD,lka001,lka001003,lka001003018,,Kaluthara,2008-01-06,2008,1
FL2008,FLOOD,lka001,lka001003,lka001003039,,Kaluthara,2008-01-06,2008,1
RA2006,RAINS,lka002,lka002002,lka002002027,Nugagolla(GN),Matale,2006-06-12,2006,6
RA2006,RAINS,lka008,lka008002,lka008002033,Samagipura (GN),Monaragala,2006-11-30,2006,11
FL2008,FLOOD,lka001,lka001003,lka001003012,,Kaluthara,2008-01-06,2008,1
RA2006,RAINS,lka008,lka008002,lka008002033,Nugegalayaya (GN),Monaragala,2006-12-17,2006,12
FL2007,FLOOD,lka008,lka008002,lka008002033,Punchiwewa (GN),Monaragala,2007-04-15,2007,4
FL2008,FLOOD,lka004,lka004005,lka004005009,Ambalnagar(GN),Kilinochchi,2008-10-03,2008,10
FL2008,FLOOD,lka004,lka004005,lka004005009,Thirunagar South(GN),Kilinochchi,2008-10-03,2008,10
FL2008,FLOOD,lka008,lka008002,lka008002033,Habaraluwewa (GN),Monaragala,2008-12-03,2008,12
FL2007,FLOOD,lka004,lka004001,lka004001036,Jaffna Town East(GN),Jaffna,2007-12-23,2007,12
FL2007,FLOOD,lka004,lka004001,lka004001036,Reclamation East(GN),Jaffna,2007-12-23,2007,12
FL2007,FLOOD,lka006,lka006002,lka006002006,,Puttalam,2007-12-25,2007,12
FL2007,FLOOD,lka004,lka004001,lka004001036,Fort(GN),Jaffna,2007-12-23,2007,12
FL2007,FLOOD,lka004,lka004001,lka004001036,Koddady(GN),Jaffna,2007-12-23,2007,12
FL2007,FLOOD,lka004,lka004001,lka004001036,Navanthurai South(GN),Jaffna,2007-12-23,2007,12
