Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month
RA2007,RAINS,lka002,lka002002,lka002002009,Rajawela(GN),Matale,2007-03-19,2007,3
RA2007,RAINS,lka002,lka002002,lka002002009,Wambatuyaya(GN),Matale,2007-12-21,2007,12
RA2007,RAINS,lka002,lka002002,lka002002009,Arangala(GN),Matale,2007-12-22,2007,12
RA2007,RAINS,lka002,lka002002,lka002002009,Nalanda(GN),Matale,2007-12-23,2007,12
RA2006,RAINS,lka002,lka002002,lka002002009,Pilihudugolla Ihalagama(GN),Matale,2006-12-24,2006,12
LA2007,LANDSLIDE,lka009,lka009001,lka009001036,Kolombugama(GN),Ratnapura,2007-12-25,2007,12
RA2007,RAINS,lka008,lka008002,lka008002006,Iluklanda (GN),Monaragala,2007-01-17,2007,1
RA2007,RAINS,lka008,lka008002,lka008002006,Dambagalla (GN),Monaragala,2007-01-14,2007,1
RA2007,RAINS,lka008,lka008002,lka008002003,"Lindakumbura (GN), Dehiattawela (GN), Kavudella (GN)        ",Monaragala,2007-12-23,2007,12
LA2008,LANDSLIDE,lka008,lka008002,lka008002003,,Monaragala,2008-12-03,2008,12
RA2007,RAINS,lka002,lka002002,lka002002027,Dewagiriya(GN),Matale,2007-01-19,2007,1
RA2007,RAINS,lka002,lka002002,lka002002027,Dewagiriya(GN),Matale,2007-02-14,2007,2
RA2007,RAINS,lka002,lka002002,lka002002027,Nagolla(GN),Matale,2007-08-11,2007,8
RA2007,RAINS,lka002,lka002002,lka002002027,Nugagolla(GN),Matale,2007-05-01,2007,5
RA2007,RAINS,lka002,lka002002,lka002002027,80 Yaya(GN),Matale,2007-08-01,2007,8
RA2006,RAINS,lka002,lka002002,lka002002027,Wilgamuwa(GN),Matale,2006-12-28,2006,12
RA2006,RAINS,lka002,lka002002,lka002002027,Nugagolla(GN),Matale,2006-06-12,2006,6
RA2006,RAINS,lka008,lka008002,lka008002033,Samagipura (GN),Monaragala,2006-11-30,2006,11
RA2006,RAINS,lka008,lka008002,lka008002033,Nugegalayaya (GN),Monaragala,2006-12-17,2006,12
RA2006,RAINS,lka002,lka002002,lka002002006,Wavul Ambe(GN),Matale,2006-09-25,2006,9
RA2006,RAINS,lka002,lka002002,lka002002006,Kalogahaela(GN),Matale,2006-04-10,2006,4
RA2006,RAINS,lka002,lka002002,lka002002006,Lenadora Nouth(GN),Matale,2006-11-10,2006,11
RA2006,RAINS,lka002,lka002002,lka002002006,Embul ambe(GN),Matale,2006-11-10,2006,11
RA2006,RAINS,lka002,lka002002,lka002002006,Nayakumbura(GN),Matale,2006-10-18,2006,10
RA2006,RAINS,lka002,lka002002,lka002002006,Kalogahaela(GN),Matale,2006-01-11,2006,1
RA2006,RAINS,lka002,lka002002,lka002002006,Kalundewa Paranagama(GN),Matale,2006-06-11,2006,6
RA2006,RAINS,lka002,lka002002,lka002002006,Moragollewa(GN),Matale,2006-12-28,2006,12
RA2007,RAINS,lka002,lka002002,lka002002006,Puwak Attawala(GN),Matale,2007-08-01,2007,8
RA2007,RAINS,lka002,lka002002,lka002002006,Siyambala wewa(GN),Matale,2007-09-01,2007,9
RA2007,RAINS,lka002,lka002002,lka002002006,Welihena(GN),Matale,2007-09-01,2007,9
RA2007,RAINS,lka002,lka002002,lka002002006,Kimbissa(GN),Matale,2007-11-09,2007,11
RA2007,RAINS,lka002,lka002002,lka002002006,Kalundewa Paranagama(GN),Matale,2007-11-09,2007,11
RA2007,RAINS,lka002,lka002002,lka002002006,Athuparayaya(GN),Matale,2007-11-21,2007,11
RA2007,RAINS,lka002,lka002002,lka002002006,Inamaluwa(GN),Matale,2007-11-22,2007,11
RA2007,RAINS,lka002,lka002002,lka002002006,Kalundewa Aluthgama(GN),Matale,2007-12-19,2007,12
RA2005,RAINS,lka002,lka002002,lka002002024,Siyambalagahawella,Matale,2005-05-25,2005,5
GA2005,RAINS,lka002,lka002002,lka002002024,Siyambalagahawella,Matale,2005-07-12,2005,7
RA2007,RAINS,lka002,lka002002,lka002002024,Kivulewadiya(GN),Matale,2007-02-01,2007,2
RA2006,RAINS,lka002,lka002002,lka002002024,Kivulewadiya(GN),Matale,2006-02-28,2006,2
LA2007,LANDSLIDE,lka002,lka002001,lka002001048,Wanahapuwa(GN),Kandy,2007-12-23,2007,12
LA2007,LANDSLIDE,lka002,lka002001,lka002001030,Aniwatta West(GN),Kandy,2007-12-24,2007,12
LA2007,LANDSLIDE,lka002,lka002001,lka002001015,Hathale(GN),Kandy,2007-12-24,2007,12
LA2007,LANDSLIDE,lka002,lka002001,lka002001015,Hathale(GN),Kandy,2007-10-17,2007,10
LA2007,LANDSLIDE,lka003,lka003001,lka003001039,Weliwatta(GN),Galle,2007-08-28,2007,8
LA2006,LANDSLIDE,lka009,lka009001,lka009001015,,Ratnapura,2006-07-11,2006,7
LA2007,LANDSLIDE,lka003,lka003002,lka003002018,Eramudugoda(GN),Matara,2007-03-11,2007,3
LA2007,LANDSLIDE,lka003,lka003002,lka003002027,Urapola(GN),Matara,2007-03-11,2007,3
LA2007,LANDSLIDE,lka009,lka009001,lka009001012,Kahangama(GN),Ratnapura,2007-10-22,2007,10
LA2007,LANDSLIDE,lka009,lka009001,lka009001021,Madola(GN),Ratnapura,2007-08-11,2007,8
LA2007,LANDSLIDE,lka008,lka008001,lka008001019,Lunugala town(GN),Badulla,2007-11-11,2007,11
LA2007,LANDSLIDE,lka008,lka008001,lka008001019,Alakolagala(GN),Badulla,2007-11-11,2007,11
LA2007,LANDSLIDE,lka002,lka002001,lka002001036,Kendakaduwa(GN),Kandy,2007-08-09,2007,8
LA2007,LANDSLIDE,lka009,lka009001,lka009001012,Malwala(GN),Ratnapura,2007-12-18,2007,12
LA2007,LANDSLIDE,lka003,lka003001,lka003001012,Pitiwala South(GN),Galle,2007-10-17,2007,10
LA2007,LANDSLIDE,lka003,lka003001,lka003001048,Akulahena,Galle,2007-10-17,2007,10
LA2008,LANDSLIDE,lka009,lka009002,lka009002030,Daigala (GN),Kegalle,2008-01-06,2008,1
LA2003,LANDSLIDE,lka009,lka009001,lka009001033,On Rakwana -Pothupitiya Road,Ratnapura,2003-06-06,2003,6
LA2000,LANDSLIDE,lka008,lka008001,lka008001039,Colombo-Badulla railway,Badulla,2000-01-16,2000,1
LA2001,LANDSLIDE,lka009,lka009001,lka009001015,Wegapitiya (GN),Ratnapura,2001-01-18,2001,1
LA2001,LANDSLIDE,lka003,lka003003,lka003003024,Dangalla kanda,Hmabantota,2001-04-02,2001,4
