Disaster,Code Region,Code District,Code Commune,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,9,9001,9001018,Rassagala(Gn),Ratnapura,2000,2,7,5.0,1
Cyclone,7,7001,7001045,Ikiriwewa(Gn),Anuradhapura,2000,12,12,9.7,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,10,23,6.9,0
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,11,28,6.1,0
Cyclone,9,9001,9001009,Kiriella,Ratnapura,2000,11,17,6.1,0
Cyclone,9,9001,9001003,Eheliyagoda,Ratnapura,2000,12,26,6.7,0
Cyclone,9,9001,9001009,Kiriella,Ratnapura,2000,2,25,5.0,0
Cyclone,1,1003,1003027,Dodangoda,Kaluthara,2000,7,10,13.2,0
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,6,10,12.6,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,2,23,5.0,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,3,1,4.1,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,4,9.8,0
Cyclone,9,9001,9001018,Kiridigala(Gn),Ratnapura,2000,11,8,6.1,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,3,7,4.1,1
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,7,3,12.5,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,4,22,5.5,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,5,20,10.1,1
Cyclone,5,5003,5003027,Muttur,Trincomalee,2000,12,26,12.1,0
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,4,12.6,1
Cyclone,6,6001,6001036,Wariyapola,Kurunegala,2000,12,25,9.3,1
Cyclone,5,5003,5003027,Pallikkudiyiruppu(Gn),Trincomalee,2000,12,26,12.1,0
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,8,11,12.1,1
Cyclone,4,4001,4001021,Karaveddy East(Gn),Jaffna,2000,12,26,14.2,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,3,3,4.1,1
Cyclone,6,6001,6001018,Rasnayakapura,Kurunegala,2000,12,25,9.3,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,8,23,10.9,0
Cyclone,9,9001,9001009,Kiriella,Ratnapura,2000,6,8,12.6,0
Cyclone,9,9001,9001009,Yatipawwa(Gn),Ratnapura,2000,2,25,5.0,1
Cyclone,5,5002,5002024,Kalmunai,Ampara,2000,12,26,9.1,1
Cyclone,4,4001,4001021,Vadamaradchi South-West (Karav,Jaffna,2000,12,26,14.2,1
Cyclone,7,7001,7001024,Horowpothana,Anuradhapura,2000,12,26,9.7,0
Cyclone,9,9001,9001009,Kiriella,Ratnapura,2000,5,21,10.1,0
Cyclone,7,7001,7001045,Thambuttegama,Anuradhapura,2000,12,12,9.7,1
Cyclone,5,5001,5001006,Koralai Pattu West (Oddamavadi,Batticaloa,2000,12,26,11.0,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,5,29,8.8,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,10,20,6.9,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,8,7,10.9,1
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,8,18,12.1,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,7,31,11.2,1
