Disaster,Code Region,Code District,Code Commune,Location,District,Year,Month,Day,Rainfall(mm),Landslide
Landslide,9,9001,9001018,Balangoda,Ratnapura,2000,4,8,517.6,0
Landslide,9,9001,9001018,Durakanda(GN),Ratnapura,2000,10,7,561.4,0
Landslide,9,9001,9001018,Dehigasthalawa(GN),Ratnapura,2000,8,4,300.6,0
Landslide,9,9001,9001018,Balangoda,Ratnapura,2000,4,8,517.6,1
Landslide,9,9001,9001018,Balangoda,Ratnapura,2000,7,10,291.0,0
Landslide,9,9001,9001018,Balangoda,Ratnapura,2000,7,10,291.0,1
Landslide,6,6001,6001063,Udahena (GN) Udahena Andapola Kanda,Kurunegala,2000,12,26,139.0,0
Landslide,2,2001,2001039,Udunuwara,Kandy,2000,11,9,373.6,0
Landslide,6,6001,6001063,"Udahena (GN), Nemigala Kanda",Kurunegala,2000,12,26,139.0,1
Landslide,2,2001,2001039,Udunuwara,Kandy,2000,11,9,373.6,1
Landslide,8,8001,8001039,Colombo-Badulla railway,Badulla,2000,1,16,139.0,0
Landslide,6,6001,6001063,Rideegama,Kurunegala,2000,12,26,139.0,0
Landslide,6,6001,6001063,"Udahena (GN), Nemigala Kanda",Kurunegala,2000,12,26,139.0,0
Landslide,8,8001,8001039,Colombo-Badulla railway,Badulla,2000,1,16,139.0,1
Landslide,8,8001,8001039,Haputale,Badulla,2000,1,16,139.0,1
Landslide,6,6001,6001063,Rideegama,Kurunegala,2000,12,26,139.0,1
Landslide,6,6001,6001063,Udahena (GN) Udahena Andapola Kanda,Kurunegala,2000,12,26,139.0,1
Landslide,9,9001,9001018,Dehigasthalawa(GN),Ratnapura,2000,8,4,300.6,1
Landslide,2,2001,2001039,Nawa Peradeniya(GN),Kandy,2000,9,11,207.1,0
Landslide,2,2001,2001039,Nawa Peradeniya(GN),Kandy,2000,9,11,207.1,1
Landslide,9,9001,9001018,Durakanda(GN),Ratnapura,2000,10,7,561.4,1
Landslide,8,8001,8001039,Haputale,Badulla,2000,1,16,139.0,0
Landslide,9,9001,9001015,Wegapitiya (GN),Ratnapura,2001,1,18,195.0,0
Landslide,3,3003,3003024,Dangalla kanda,Hambantota,2001,4,2,118.0,0
Landslide,3,3003,3003024,Dangalla kanda,Hambantota,2001,4,2,118.0,1
Landslide,9,9001,9001015,Imbulpe,Ratnapura,2001,1,18,195.0,0
Landslide,3,3003,3003024,Katuwana,Hambantota,2001,2,4,47.0,0
Landslide,9,9001,9001015,Imbulpe,Ratnapura,2001,1,18,195.0,1
Landslide,3,3003,3003024,Katuwana,Hambantota,2001,2,4,47.0,1
Landslide,9,9001,9001015,Wegapitiya (GN),Ratnapura,2001,1,18,195.0,1
Landslide,2,2001,2001030,Kandy Four Gravets & Gangawata,Kandy,2002,11,10,373.6,0
