Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day
FLOOD,001,001002,1002018.0,Telangapatha (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002018.0,Wattala (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,004,004001,4001003.0,Karampon West(GN),Jaffna,2008-03-19,2008,3,19
FLOOD,004,004001,4001003.0,Naranthanai North(GN),Jaffna,2008-03-19,2008,3,19
FLOOD,007,007002,7002012.0,Welikanda,Polannaruwa,2000-11-19,2000,11,19
FLOOD,004,004001,4001003.0,Naranthanai North West(GN),Jaffna,2008-03-19,2008,3,19
FLOOD,004,004001,4001003.0,Naranthanai (GN),Jaffna,2008-03-19,2008,3,19
FLOOD,004,004001,4001003.0,Naranthanai South(GN),Jaffna,2008-03-19,2008,3,19
FLOOD,004,004001,4001003.0,Suruvil(GN),Jaffna,2008-03-19,2008,3,19
STRONG WIND,004,004001,4001042.0,Delft Centre(GN),Jaffna,2006-10-28,2006,10,28
STRONG WIND,004,004001,4001042.0,Delft West(GN),Jaffna,2006-10-28,2006,10,28
FLOOD,001,001002,1002018.0,Ewariwatta (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001001,1001027.0,"Wijerama Mw, colombo 7/Cinaman Grand",Colombo,2007-03-05,2007,3,5
FLOOD,004,004001,4001003.0,Puliyankoodal(GN),Jaffna,2008-03-19,2008,3,19
FLOOD,004,004001,4001021.0,Karanavai(GN),Jaffna,2008-03-26,2008,3,26
FLOOD,004,004005,4005009.0,Anaivilunthankulam(GN),Kilinochchi,2008-10-03,2008,10,3
FLOOD,001,001002,1002018.0,Uswetakeiyawa (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,003,003001,3001021.0,"Mawita(GN),Batuwangala West(GN),",Galle,2008-01-06,2008,1,6
FLOOD,001,001002,1002018.0,Elapitiwala (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,003,003001,3001024.0,"Nagoda Ihala(GN),  Kurupanawa(GN)",Galle,2008-01-06,2008,1,6
FLOOD,001,001002,1002018.0,Balagala (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,005,005002,5002051.0,"Lahugala,Panama(GN)",Ampara,2000-01-01,2000,1,1
STRONG WIND,001,001002,1002024.0,Henarathgoda(GN),Gampaha,2007-04-22,2007,4,22
STRONG WIND,001,001002,1002024.0,Bendiyamulla(GN),Gampaha,2007-04-22,2007,4,22
STRONG WIND,002,002002,2002009.0,Naula(GN),Matale,2007-08-29,2007,8,29
FLOOD,004,004001,4001021.0,Thunnalai West(GN),Jaffna,2008-03-26,2008,3,26
FLOOD,004,004001,4001021.0,Nelliyady North(GN),Jaffna,2008-03-26,2008,3,26
FLOOD,004,004001,4001042.0,Delft West(GN),Jaffna,2008-03-28,2008,3,28
GALE,002,002002,2002009.0,Elagamuwa(GN),Matale,2007-09-15,2007,9,15
STRONG WIND,001,001002,1002024.0,Nedungamuwa(GN),Gampaha,2007-04-22,2007,4,22
GALE,002,002002,2002009.0,Nalanda(GN),Matale,2007-10-28,2007,10,28
FLOOD,004,004001,4001042.0,Delft South(GN),Jaffna,2008-03-28,2008,3,28
FLOOD,004,004001,4001042.0,Delft Centre West(GN),Jaffna,2008-03-28,2008,3,28
FLOOD,004,004001,4001042.0,Delft Centre(GN),Jaffna,2008-03-28,2008,3,28
FLOOD,004,004001,4001042.0,Delft East(GN),Jaffna,2008-03-28,2008,3,28
GALE,002,002002,2002009.0,Bambaragahawatta(GN),Matale,2007-12-22,2007,12,22
FLOOD,001,001002,1002018.0,Pattiyawala (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,003,003001,3001018.0,"Habarakada(GN),Hiniduma North(GN)",Galle,2008-01-06,2008,1,6
FLOOD,001,001002,1002018.0,Welikadamulla (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001003,1003003.0,Panadura,Kaluthara,2004-09-25,2004,9,25
GALE,008,008002,8002009.0,"Aiwela(GN),Ilukkumbura(GN),Pitadeniya(GN),Elhena(GN) ",Monaragala,2005-07-01,2005,7,1
GALE,008,008002,8002009.0,"Diviyapola(GN),Ellekona(GN),Dahagoniya(GN),Thimbiriya(GN) ",Monaragala,2005-12-01,2005,12,1
FLOOD,001,001002,1002018.0,Mabola (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,003,003001,3001015.0,"Pitigala(GN),Pitigala North(GN),",Galle,2008-02-06,2008,2,6
FLOOD,001,001002,1002018.0,Hendala South (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,003,003001,3001027.0,"Kotugoda(GN),Sandarawala(GN),Ganegama(GN),",Galle,2008-02-06,2008,2,6
FLOOD,001,001002,1002018.0,Dikovita (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,003,003001,3001030.0,"Divithura South(GN),Pathawelivitiya North(GN),",Galle,2008-02-06,2008,2,6
CYCLONE,005,005003,5003012.0,"Morawewa(GN),Mahadivulwewa(GN)",Trincomalee,2000-12-26,2000,12,26
FLOOD,001,001002,1002018.0,Hendala North (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,003,003001,3001012.0,"Pahal Omatta(GN), Kahadoowa(GN), Goluwamulla(GN),",Galle,2008-03-06,2008,3,6
FLOOD,001,001002,1002018.0,Matagoda (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002018.0,Thimbirigasyaya (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002018.0,Bopitiyathuduwa (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002018.0,Bopitiya (GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002018.0,Delathura West (GN),Gampaha,2008-03-06,2008,3,6
CYCLONE,007,007002,7002003.0,Unagalavehera (GN),Polannaruwa,2000-12-26,2000,12,26
FLOOD,001,001002,1002018.0,Delathura East (GN),Gampaha,2008-03-06,2008,3,6
GALE,008,008002,8002009.0,"Elhena(GN),Diviyapola(GN),Dahagoniya(GN),Nugamura(GN)",Monaragala,2006-02-01,2006,2,1
GALE,008,008002,8002009.0,"Aiwela(GN),Ilukkumbura(GN),Pitadeniya(GN),Elhena(GN) ",Monaragala,2003-12-17,2003,12,17
FLOOD,004,004005,4005009.0,Periya Paranthan(GN),Kilinochchi,2008-10-03,2008,10,3
FLOOD,003,003002,3002003.0,Rambukana West(GN),Matara,2008-02-06,2008,2,6
FLOOD,003,003002,3002024.0,"Kadduwa(GN),Kekunawela(GN),Maragoda(GN)",Matara,2008-01-06,2008,1,6
FLOOD,003,003002,3002027.0,"Ihala Vitiyala North(GN),Ihala Vitiyala South(GN),",Matara,2008-01-06,2008,1,6
FLOOD,002,002002,2002027.0,Perakanatta(GN),Matale,2006-12-19,2006,12,19
GALE,008,008002,8002009.0,"Kinnarabowa(GN),Keenagoda(GN),Elhena (GN)",Monaragala,2007-12-01,2007,12,1
STRONG WIND,006,006002,6002009.0,Dangaswewa(GN),Puttalam,2007-04-14,2007,4,14
GALE,008,008002,8002009.0,"Keenagoda(GN),Bakinigahawela(GN),Dahagoniya(GN)        ",Monaragala,2007-07-01,2007,7,1
STRONG WIND,006,006002,6002030.0,"Wijayakatupatha Elen M(GN),Ambakele(GN)",Puttalam,2007-04-05,2007,4,5
FLOOD,003,003002,3002036.0,Watagedara(GN),Matara,2008-04-06,2008,4,6
FLOOD,003,003002,3002042.0,matara beach area,Matara,2008-01-06,2008,1,6
STRONG WIND,006,006002,6002024.0,Kottukachchiya(GN),Puttalam,2007-06-30,2007,6,30
LANDSLIDE,009,009001,9001036.0,Kolombugama(GN),Ratnapura,2007-12-25,2007,12,25
GALE,009,009001,9001036.0,Sidurupitiya(GN),Ratnapura,2007-12-25,2007,12,25
STRONG WIND,008,008002,8002006.0,Dambagalla (GN),Monaragala,2007-05-06,2007,5,6
STRONG WIND,008,008002,8002006.0,"Wewupitiya, Puwakgoda ",Monaragala,2007-05-06,2007,5,6
STRONG WIND,008,008002,8002006.0,Puwakgoda,Monaragala,2007-05-06,2007,5,6
GALE,008,008002,8002003.0,"Kanulwela(GN),Dehiattawela(GN),Medipitiya(GN)",Monaragala,2007-10-14,2007,10,14
GALE,008,008002,8002003.0,Mallehewa (GN),Monaragala,2007-10-27,2007,10,27
LANDSLIDE,008,008002,8002003.0,"Kanulwela(GN),Dehiattawela(GN),Medipitiya(GN)",Monaragala,2008-12-03,2008,12,3
FLOOD,001,001003,1003036.0,Kamburawala(GN),Kaluthara,2008-05-31,2008,5,31
FLOOD,001,001003,1003036.0,Diggoda(GN),Kaluthara,2008-05-31,2008,5,31
FLOOD,001,001003,1003036.0,Kamburawala(GN),Kaluthara,2008-05-31,2008,5,31
FLOOD,001,001003,1003018.0,Gungamuwa (GN),Kaluthara,2008-01-06,2008,1,6
FLOOD,001,001003,1003039.0,"Yagirala(GN),Walallavita",Kaluthara,2008-01-06,2008,1,6
GALE,008,008002,8002033.0,Mahagama (GN),Monaragala,2006-08-13,2006,8,13
STRONG WIND,002,002002,2002027.0,"Dewagiriya(GN),Perakanatta(GN),Wanarawa(GN)",Matale,2007-04-28,2007,4,28
FLOOD,001,001003,1003012.0,"Mahagama(GN),Delmella(GN),Ihala Narangala(GN)",Kaluthara,2008-01-06,2008,1,6
FLOOD,008,008002,8002033.0,Punchiwewa (GN),Monaragala,2007-04-15,2007,4,15
STRONG WIND,008,008002,8002033.0,Samagipura (GN),Monaragala,2007-09-24,2007,9,24
STRONG WIND,008,008002,8002033.0,Muthuminigama (GN),Monaragala,2008-03-14,2008,3,14
STRONG WIND,002,002002,2002027.0,Gemburuoya(GN),Matale,2007-06-25,2007,6,25
FLOOD,004,004005,4005009.0,Ambalnagar(GN),Kilinochchi,2008-10-03,2008,10,3
FLOOD,004,004005,4005009.0,Thirunagar South(GN),Kilinochchi,2008-10-03,2008,10,3
STRONG WIND,008,008002,8002033.0,Habaraluwewa (GN),Monaragala,2008-03-30,2008,3,30
STRONG WIND,002,002002,2002027.0,Aliwanguwa(GN),Matale,2007-06-25,2007,6,25
FLOOD,008,008002,8002033.0,Habaraluwewa (GN),Monaragala,2008-12-03,2008,12,3
FLOOD,004,004001,4001036.0,Jaffna Town East(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001036.0,Reclamation East(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,006,006002,6002006.0,"Serakkuliya(GN),Mangalapura(GN),Milankulama(GN), ",Puttalam,2007-12-25,2007,12,25
FLOOD,004,004001,4001036.0,Fort(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001036.0,Koddady(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001036.0,Navanthurai South(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001036.0,Navanthurai North(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001036.0,Moor Street South(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001036.0,New Moor Street(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Irupalai South(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Irupalai East(GN),Jaffna,2007-12-23,2007,12,23
GALE,001,001001,1001015.0,"Puwakpitiya(GN),Seethawaka(GN),Avissawella(GN)",Colombo,2002-02-05,2002,2,5
FLOOD,004,004001,4001018.0,Kopay South(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Kopay Centre(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Kopay North(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,001,001003,1003015.0,Anguruwathota(GN),Kaluthara,2008-02-06,2008,2,6
FLOOD,004,004001,4001018.0,Neetvely North(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Neervely South(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,001,001003,1003021.0,Etavila (GN),Kaluthara,2008-02-06,2008,2,6
FLOOD,001,001003,1003030.0,Gurudola(GN),Kaluthara,2008-02-06,2008,2,6
FLOOD,004,004001,4001018.0,Neervely West(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Sirupiddy East(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,001,001003,1003010.0,"Poruwadanada West(GN),Rathmalgoda East(GN)",Kaluthara,2008-02-06,2008,2,6
FLOOD,004,004001,4001018.0,Puttur East(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Avarangal West(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,009,009001,9001033.0,On Rakwana -Pothupitiya Road,Ratnapura,2008-05-31,2008,5,31
FLOOD,001,001003,1003006.0,Atulugama East (GN),Kaluthara,2008-02-06,2008,2,6
FLOOD,004,004001,4001018.0,Idaikkaddu(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Atchuvely South(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Atchuvely West(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001018.0,Atchuvely North(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,001,001003,1003024.0,Kalavilakanda(GN),Kaluthara,2008-02-06,2008,2,6
FLOOD,009,009001,9001006.0,parakaduwa(GN),Ratnapura,2008-05-31,2008,5,31
FLOOD,001,001003,1003009.0,Horana (GN),Kaluthara,2008-05-06,2008,5,6
FLOOD,009,009001,9001027.0,kahawatta(GN),Ratnapura,2008-05-31,2008,5,31
FLOOD,004,004001,4001027.0,Thondamanaru South(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001027.0,Kerudavil South(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,009,009001,9001012.0,Kahangama(GN),Ratnapura,2008-05-31,2008,5,31
FLOOD,001,001003,1003003.0,Panadura,Kaluthara,2008-05-06,2008,5,6
FLOOD,009,009001,9001030.0,Gangodakanda (GN),Ratnapura,2008-05-31,2008,5,31
FLOOD,001,001003,1003033.0,"Girikola(GN), Gorokgoda(GN)",Kaluthara,2008-05-06,2008,5,6
FLOOD,009,009001,9001003.0,Divurumpitiya(GN),Ratnapura,2008-05-30,2008,5,30
FLOOD,009,009001,9001036.0,Kolombugama(GN),Ratnapura,2008-05-31,2008,5,31
FLOOD,005,005002,5002051.0,"Lahugala,Panama(GN)",Ampara,2006-12-17,2006,12,17
FLOOD,009,009001,9001042.0,Rakwana(GN),Ratnapura,2008-05-31,2008,5,31
FLOOD,001,001002,1002030.0,Udakanampella South(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Udakanampella North(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Senasungoda(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Galpothugoda(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Poogoda(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Udamapitigama(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Dethamulla(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Nikawela(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Malwana(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Samanabedda(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Walgama East (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Ovitigama(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Malwana Town (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002039.0,Yabaraluwa North (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Meniklanda(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Yabaraluwa South (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Giridara(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Biyagama South (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Kumarimulla(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Biyagama East (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Welgama(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Mabima West (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002039.0,Mabima East (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Samanabedda North(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Thalwatta (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Pahala Mapitigama(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002030.0,Kalukodayawa West(GN),Gampaha,2008-02-06,2008,2,6
STRONG WIND,007,007001,7001018.0,"Kallanchiya(GN),Gonewa(GN),",Anuradhapura,2005-01-05,2005,1,5
FLOOD,004,004001,4001027.0,Kerudavil East(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001027.0,Alvai North(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001027.0,Thuimpalai(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,004,004001,4001027.0,Thumpalai East(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,001,001002,1002039.0,Bollegala (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Guruwala(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Pattivila South (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Udamapitigama South(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001002,1002039.0,Pattivila North (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Giridara West(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,004,004001,4001027.0,Puloly North(GN),Jaffna,2007-12-23,2007,12,23
FLOOD,002,002002,2002006.0,Welamitiyawa(GN),Matale,2007-12-22,2007,12,22
FLOOD,002,002002,2002006.0,Pannampitiya(GN),Matale,2007-12-22,2007,12,22
FLOOD,002,002002,2002006.0,Nayakumbura(GN),Matale,2007-12-22,2007,12,22
FLOOD,001,001001,1001003.0,Mahawatta (GN),Colombo,2006-10-27,2006,10,27
FLOOD,001,001001,1001003.0,Nawagampura (GN),Colombo,2006-10-27,2006,10,27
FLOOD,002,002002,2002006.0,Kapuwatta(GN),Matale,2007-12-22,2007,12,22
FLOOD,001,001002,1002039.0,Biyagama West (GN),Gampaha,2008-01-06,2008,1,6
FLOOD,001,001002,1002030.0,Malinda East(GN),Gampaha,2008-02-06,2008,2,6
FLOOD,001,001001,1001003.0,Grandpass South (GN),Colombo,2006-10-27,2006,10,27
