Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
FLOOD,1,1002,1002018.0,Telangapatha (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002018.0,Wattala (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,4,4001,4001003.0,Karampon West(Gn),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,4001003.0,Naranthanai North(Gn),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,7,7002,7002012.0,Welikanda,Polannaruwa,2000-11-19,2000,11,19,262.3,7.3
FLOOD,4,4001,4001003.0,Naranthanai North West(Gn),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,4001003.0,Naranthanai (Gn),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,4001003.0,Naranthanai South(Gn),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,4001003.0,Suruvil(Gn),Jaffna,2008-03-19,2008,3,19,56.1,9.6
STRONG WIND,4,4001,4001042.0,Delft Centre(Gn),Jaffna,2006-10-28,2006,10,28,335.8,11.4
STRONG WIND,4,4001,4001042.0,Delft West(Gn),Jaffna,2006-10-28,2006,10,28,335.8,11.4
FLOOD,1,1002,1002018.0,Ewariwatta (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1001,1001027.0,"Wijerama Mw, Colombo 7/Cinaman Grand",Colombo,2007-03-05,2007,3,5,130.0,6.0
FLOOD,4,4001,4001003.0,Puliyankoodal(Gn),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,4001021.0,Karanavai(Gn),Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,4,4005,4005009.0,Anaivilunthankulam(Gn),Kilinochchi,2008-10-03,2008,10,3,319.9,10.9
FLOOD,1,1002,1002018.0,Uswetakeiyawa (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,3001021.0,"Mawita(Gn),Batuwangala West(Gn),",Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,1,1002,1002018.0,Elapitiwala (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,3001024.0,"Nagoda Ihala(Gn), Kurupanawa(Gn)",Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,1,1002,1002018.0,Balagala (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,5,5002,5002051.0,"Lahugala,Panama(Gn)",Ampara,2000-01-01,2000,1,1,271.1,9.6
STRONG WIND,1,1002,1002024.0,Henarathgoda(Gn),Gampaha,2007-04-22,2007,4,22,112.0,7.1
STRONG WIND,1,1002,1002024.0,Bendiyamulla(Gn),Gampaha,2007-04-22,2007,4,22,112.0,7.1
STRONG WIND,2,2002,2002009.0,Naula(Gn),Matale,2007-08-29,2007,8,29,109.0,8.8
FLOOD,4,4001,4001021.0,Thunnalai West(Gn),Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,4,4001,4001021.0,Nelliyady North(Gn),Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,4,4001,4001042.0,Delft West(Gn),Jaffna,2008-03-28,2008,3,28,56.1,9.6
GALE,2,2002,2002009.0,Elagamuwa(Gn),Matale,2007-09-15,2007,9,15,112.0,8.2
STRONG WIND,1,1002,1002024.0,Nedungamuwa(Gn),Gampaha,2007-04-22,2007,4,22,112.0,7.1
GALE,2,2002,2002009.0,Nalanda(Gn),Matale,2007-10-28,2007,10,28,341.0,5.1
FLOOD,4,4001,4001042.0,Delft South(Gn),Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,4,4001,4001042.0,Delft Centre West(Gn),Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,4,4001,4001042.0,Delft Centre(Gn),Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,4,4001,4001042.0,Delft East(Gn),Jaffna,2008-03-28,2008,3,28,56.1,9.6
GALE,2,2002,2002009.0,Bambaragahawatta(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,1,1002,1002018.0,Pattiyawala (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,3001018.0,"Habarakada(Gn),Hiniduma North(Gn)",Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,1,1002,1002018.0,Welikadamulla (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1003,1003003.0,Panadura,Kaluthara,2004-09-25,2004,9,25,111.8,12.2
GALE,8,8002,8002009.0,"Aiwela(Gn),Ilukkumbura(Gn),Pitadeniya(Gn),Elhena(Gn) ",Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,8,8002,8002009.0,"Diviyapola(Gn),Ellekona(Gn),Dahagoniya(Gn),Thimbiriya(Gn) ",Monaragala,2005-12-01,2005,12,1,235.0,7.7
FLOOD,1,1002,1002018.0,Mabola (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,3001015.0,"Pitigala(Gn),Pitigala North(Gn),",Galle,2008-02-06,2008,2,6,59.0,6.2
FLOOD,1,1002,1002018.0,Hendala South (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,3001027.0,"Kotugoda(Gn),Sandarawala(Gn),Ganegama(Gn),",Galle,2008-02-06,2008,2,6,59.0,6.2
FLOOD,1,1002,1002018.0,Dikovita (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,3001030.0,"Divithura South(Gn),Pathawelivitiya North(Gn),",Galle,2008-02-06,2008,2,6,59.0,6.2
CYCLONE,5,5003,5003012.0,"Morawewa(Gn),Mahadivulwewa(Gn)",Trincomalee,2000-12-26,2000,12,26,275.0,12.1
FLOOD,1,1002,1002018.0,Hendala North (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,3001012.0,"Pahal Omatta(Gn), Kahadoowa(Gn), Goluwamulla(Gn),",Galle,2008-03-06,2008,3,6,78.0,6.3
FLOOD,1,1002,1002018.0,Matagoda (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002018.0,Thimbirigasyaya (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002018.0,Bopitiyathuduwa (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002018.0,Bopitiya (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002018.0,Delathura West (Gn),Gampaha,2008-03-06,2008,3,6,55.0,5.9
CYCLONE,7,7002,7002003.0,Unagalavehera (Gn),Polannaruwa,2000-12-26,2000,12,26,211.9,8.9
FLOOD,1,1002,1002018.0,Delathura East (Gn),Gampaha,2008-03-06,2008,3,6,55.0,5.9
GALE,8,8002,8002009.0,"Elhena(Gn),Diviyapola(Gn),Dahagoniya(Gn),Nugamura(Gn)",Monaragala,2006-02-01,2006,2,1,93.0,7.2
