,District,Year,1,2,3,4,5,6,7,8,9,10,11,12
0,Anuradhapura,2010,40.4,13.4,26.8,251.3,62.4,2.6,16.4,149.6,263.3,134.9,376.5,327.8
1,Anuradhapura,2011,295.2,369.2,19.2,371.4,4.2,3.7,9.7,4.0,1.4,283.5,382.5,171.9
2,Anuradhapura,2012,28.2,69.3,75.2,145.4,0.2,0.0,23.9,0.0,16.2,683.9,242.1,593.7
3,Anuradhapura,2013,203.4,75.9,232.6,79.4,57.4,0.4,12.9,63.9,42.1,125.0,196.1,104.8
4,Anuradhapura,2014,159.9,45.4,3.0,345.8,179.9,1.4,0.0,60.0,266.0,383.9,371.6,666.3
5,Anuradhapura,2015,15.8,161.1,26.0,288.2,264.7,10.1,0.0,180.2,147.1,388.6,452.4,286.4
6,Anuradhapura,2016,31.9,28.5,9.1,114.1,463.1,7.1,14.1,0.0,0.0,134.7,165.9,66.1
7,Anuradhapura,2017,108.7,39.5,141.5,116.0,224.1,8.6,11.3,148.3,112.7,224.1,420.9,74.0
8,Anuradhapura,2018,19.4,37.6,59.1,148.5,224.7,2.3,0.0,26.0,89.3,529.2,193.2,121.4
9,Anuradhapura,2019,0.0,87.5,0.0,155.7,3.9,0.2,1.5,96.3,79.7,258.6,347.5,293.3
10,Anuradhapura,2020,11.4,35.6,13.7,148.2,206.0,13.6,169.3,39.0,45.6,39.3,301.3,239.2
11,Anuradhapura,2021,168.6,18.8,40.5,131.0,90.6,3.0,72.1,106.2,132.6,281.5,413.6,74.9
14,Badulla,2010,185.4,53.4,172.4,328.9,175.2,91.4,66.9,63.3,105.9,170.6,440.3,322.3
15,Badulla,2011,579.7,538.0,118.1,256.7,148.7,5.4,25.5,18.1,38.9,334.5,225.4,236.1
16,Badulla,2012,57.4,105.0,50.8,268.1,0.4,69.0,33.2,38.4,103.1,214.5,262.5,313.8
17,Badulla,2013,410.2,158.7,98.7,243.2,100.4,42.2,59.9,70.1,77.2,171.1,201.1,232.3
18,Badulla,2014,72.9,39.9,65.3,118.9,212.8,2.7,15.9,65.2,131.6,491.3,278.4,669.5
19,Badulla,2015,24.7,248.7,114.4,406.4,97.8,188.8,37.8,25.8,200.6,390.0,426.2,272.5
20,Badulla,2016,64.9,80.9,47.0,35.7,276.7,5.2,162.6,51.3,0.5,68.2,137.1,104.6
21,Badulla,2017,177.3,122.3,282.9,59.5,95.0,64.1,28.2,88.9,133.3,262.4,264.5,346.1
22,Badulla,2018,85.5,72.3,122.3,250.4,309.4,17.0,74.2,20.4,137.4,401.8,238.2,99.0
24,Badulla,2020,68.8,45.5,11.7,93.1,198.5,144.0,99.5,159.0,129.4,41.4,289.3,187.4
25,Badulla,2021,112.6,67.6,162.4,136.5,224.0,61.5,70.9,235.7,104.8,322.8,251.6,209.8
28,Batticaloa,2010,75.0,120.1,1.1,4.9,39.1,21.3,10.0,129.1,106.0,131.9,410.7,711.4
29,Batticaloa,2011,1346.5,544.6,187.0,83.7,0.0,5.4,21.3,48.3,83.1,359.1,390.0,512.3
30,Batticaloa,2012,67.9,300.4,11.4,68.5,0.0,0.3,1.0,18.4,74.2,217.5,365.4,661.4
31,Batticaloa,2013,786.8,300.0,130.2,31.7,60.4,3.2,47.3,37.9,82.3,24.0,198.8,271.1
32,Batticaloa,2014,274.4,72.6,22.2,1.2,174.2,0.0,0.0,82.7,21.6,184.1,521.1,1164.2
33,Batticaloa,2015,13.6,217.7,42.1,43.7,71.5,50.1,23.3,13.9,24.4,622.2,516.9,342.8
34,Batticaloa,2016,323.1,25.0,62.9,0.5,287.4,0.0,11.9,16.7,30.0,60.7,315.4,130.2
35,Batticaloa,2017,338.2,22.1,131.6,4.9,7.7,33.1,77.5,196.7,87.4,214.5,417.1,147.0
36,Batticaloa,2018,24.5,213.8,133.4,73.3,65.9,50.4,6.0,122.3,8.6,200.4,600.1,267.6
37,Batticaloa,2019,169.4,151.9,23.2,49.7,0.0,15.6,9.2,82.0,176.5,446.8,547.8,486.1
38,Batticaloa,2020,120.1,54.2,0.7,6.5,44.0,37.5,51.4,38.7,59.5,177.4,284.5,740.8
