Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Ampara,Ampara,2018,8,2,0.29,1
Cyclone,Varipathanchenai,Ampara,2006,10,2,0.2,0
Cyclone,Senanayakapura,Ampara,2003,6,19,0.32,0
Cyclone,Damana,Ampara,2000,12,11,0.29,0
Cyclone,Irakkamam,Ampara,2006,10,9,0.2,0
Cyclone,Dorakumbura,Ampara,2000,12,5,0.29,0
Cyclone,Varipathanchenai,Ampara,2005,2,23,0.29,0
Cyclone,Varipathanchenai,Ampara,2004,2,23,0.29,0
Cyclone,Thottama,Ampara,2006,2,4,0.29,0
Cyclone,Galkanda,Ampara,2005,9,10,0.26,0
Cyclone,Damana,Ampara,2005,9,24,0.26,1
Cyclone,Damana,Ampara,2006,9,2,0.26,1
Cyclone,Eragama,Ampara,2004,11,2,0.24,1
Cyclone,Eragama,Ampara,2005,1,2,0.31,1
Cyclone,Padiyathalawa,Ampara,2000,12,26,0.29,1
Cyclone,Irakkamam,Ampara,2005,9,21,0.26,0
Cyclone,Eragama,Ampara,2006,4,10,0.19,1
Cyclone,Eragama,Ampara,2006,1,10,0.31,1
Cyclone,Eragama,Ampara,2005,9,23,0.26,1
Cyclone,Uhana,Ampara,2006,9,2,0.26,1
Cyclone,Padiyathalawa,Ampara,2003,12,5,0.29,1
Cyclone,Navithanveli,Ampara,2005,5,21,0.24,0
Cyclone,Navithanveli,Ampara,2008,6,6,0.32,0
Cyclone,Navithanveli,Ampara,2009,11,17,0.24,0
Cyclone,Dehiattakandiya,Ampara,2008,7,19,0.31,0
Cyclone,Dehiattakandiya,Ampara,2007,4,8,0.19,0
Cyclone,Padiyathalawa,Ampara,2008,5,28,0.24,0
Cyclone,Mahaoya,Ampara,2008,3,20,0.21,0
Cyclone,Mahaoya,Ampara,2008,1,15,0.31,0
Cyclone,Uhana,Ampara,2009,8,18,0.29,0
Cyclone,Uhana,Ampara,2008,10,16,0.2,0
Cyclone,Ampara,Ampara,2003,9,6,0.26,1
Cyclone,Uhana,Ampara,2008,8,6,0.29,0
Cyclone,Senagama,Ampara,2006,2,25,0.29,0
Cyclone,Irakkamam,Ampara,2007,6,21,0.32,1
Cyclone,Akkaraipattu,Ampara,2005,4,3,0.19,0
Cyclone,Senagama,Ampara,2004,1,3,0.31,0
Cyclone,Uhana,Ampara,2006,1,3,0.31,0
Cyclone,Sadamadulla,Ampara,2000,5,24,0.24,0
Cyclone,Irakkamam,Ampara,2009,10,27,0.2,1
Cyclone,Irakkamam,Ampara,2006,12,20,0.29,1
Cyclone,Viripathanchenai,Ampara,2006,10,6,0.2,1
Cyclone,Ninthavur Area,Ampara,2009,11,15,0.24,1
Cyclone,Viripathanchenai,Ampara,2008,8,15,0.29,1
