Disaster,Location,District,Year,Month,Day,Rainfall(mm),Flood
Flood,Navithanveli,Ampara,2004,12,10,17.84,1
Flood,Eragama,Ampara,2011,11,4,13.56,0
Flood,Damana,Ampara,2003,5,1,5.32,1
Flood,Lahugala,Ampara,2011,11,24,13.56,0
Flood,Uhana,Ampara,2011,11,17,13.56,0
Flood,Panama,Ampara,2004,10,28,9.82,0
Flood,Ninthavur,Ampara,2006,12,8,17.84,0
Flood,Damana,Ampara,2003,5,11,5.32,0
Flood,Dorakumbura,Ampara,2003,3,29,2.53,0
Flood,Mahaoya,Ampara,2002,1,23,8.75,0
Flood,Peranigama,Ampara,2005,6,20,2.32,0
Flood,Mawanagama,Ampara,2001,1,3,8.75,0
Flood,Mawanagama,Ampara,2006,12,2,17.84,0
Flood,Mawanagama,Ampara,2000,11,8,13.56,0
Flood,Karativu,Ampara,2000,12,16,17.84,0
Flood,Ninthavur,Ampara,2000,12,28,17.84,0
Flood,Ninthavur,Ampara,2003,12,26,17.84,0
Flood,Uhana,Ampara,2013,1,7,8.75,0
Flood,Ampara,Ampara,2013,1,23,8.75,0
Flood,Addalachchenai,Ampara,2013,1,20,8.75,0
Flood,Akkaraipattukarunkoditivu,Ampara,2013,1,23,8.75,0
Flood,Sayinthamarathu,Ampara,2013,1,13,8.75,0
Flood,Pothuvil,Ampara,2011,11,7,13.56,0
Flood,Ampara,Ampara,2011,11,24,13.56,0
Flood,Kolavil,Ampara,2004,10,7,9.82,0
Flood,Akkaraipattu,Ampara,2004,10,1,9.82,0
Flood,Ninthavur,Ampara,2005,12,10,17.84,1
Flood,Lahugala,Ampara,2000,1,1,8.75,1
Flood,Panama,Ampara,2000,1,23,8.75,0
Flood,Panama,Ampara,2006,12,29,17.84,0
Flood,Akkaraipattukarunkoditivu,Ampara,2005,11,25,13.56,0
Flood,Alayadiwembu,Ampara,2006,9,21,5.75,0
Flood,Ninthavur,Ampara,2006,12,18,17.84,1
Flood,Ninthavur,Ampara,2005,10,6,9.82,0
Flood,Thikkanagar,Ampara,2004,10,23,9.82,0
Flood,Damana,Ampara,2000,4,3,3.86,0
Flood,Alayadiwembu,Ampara,2013,1,30,8.75,0
Flood,Thikkanagar,Ampara,2000,4,7,3.86,0
Flood,Sangamam,Ampara,2000,4,5,3.86,0
Flood,Komarie,Ampara,2000,4,25,3.86,0
Flood,Panama,Ampara,2000,1,16,8.75,0
Flood,Sangamam,Ampara,2000,11,19,13.56,0
Flood,Akkaraipattu,Ampara,2000,11,28,13.56,0
Flood,Kalmunai Muslim Section,Ampara,2000,11,11,13.56,0
Flood,Kalmunai Muslim Section,Ampara,2004,10,2,9.82,0
Flood,Karativu,Ampara,2004,10,28,9.82,0
Flood,Sangamam,Ampara,2004,10,6,9.82,0
Flood,Ninthavur,Ampara,2004,10,25,9.82,0
Flood,Akkaraipattu,Ampara,2000,4,29,3.86,0
Flood,Addalachchenai,Ampara,2004,12,10,17.84,1
Flood,Samanthurai,Ampara,2013,1,20,8.75,0
Flood,Ninthavur,Ampara,2007,4,13,3.86,0
Flood,Komarie,Ampara,2005,10,5,9.82,0
Flood,Annamalai,Ampara,2004,10,13,9.82,0
Flood,Annamalai,Ampara,2003,1,3,8.75,0
Flood,Kalmunai Muslim Section,Ampara,2003,5,30,5.32,0
Flood,Ninthavur,Ampara,2002,5,7,5.32,0
Flood,Ninthavur,Ampara,2001,10,27,9.82,0
Flood,Karativu,Ampara,2003,12,9,17.84,0
Flood,Sainthamarathu,Ampara,2002,5,17,5.32,0
Flood,Sangamam,Ampara,2000,12,19,17.84,0
Flood,Sangamam,Ampara,2003,5,20,5.32,0
Flood,Senanayakapura,Ampara,2000,4,30,3.86,0
Flood,Senanayakapura,Ampara,2000,11,15,13.56,0
Flood,Kadirapura,Ampara,2000,11,19,13.56,0
Flood,Pansalgoda,Ampara,2007,1,23,8.75,0
Flood,Dewalagoda,Ampara,2007,1,8,8.75,0
Flood,Panama South,Ampara,2007,1,11,8.75,0
Flood,Panama North,Ampara,2007,1,19,8.75,0
Flood,Panama West,Ampara,2007,1,15,8.75,0
Flood,Perani Lahugala,Ampara,2007,1,11,8.75,0
Flood,Shasthrawela,Ampara,2007,1,30,8.75,0
Flood,Komarie,Ampara,2007,1,1,8.75,0
Flood,Pothuvil,Ampara,2013,10,10,9.82,0
Flood,Sammanthurai,Ampara,2002,5,8,5.32,0
Flood,Alayadiwembu,Ampara,2005,6,17,2.32,0
Flood,Kolavil,Ampara,2007,4,11,3.86,0
Flood,Damana,Ampara,2006,12,12,17.84,0
Flood,Kalmunai Muslim Section,Ampara,2000,12,1,17.84,0
Flood,Thikkanagar,Ampara,2000,12,11,17.84,0
Flood,Akkaraipattu,Ampara,2000,12,19,17.84,0
Flood,Kolavil,Ampara,2000,12,18,17.84,0
Flood,Karativu,Ampara,2000,11,26,13.56,0
Flood,Komarie,Ampara,2000,11,13,13.56,0
Flood,Lahugala,Ampara,2007,1,4,8.75,0
Flood,Mawanagama,Ampara,2004,10,15,9.82,0
Flood,Galkanda,Ampara,2004,10,2,9.82,0
Flood,Samanthurai,Ampara,2013,5,15,5.32,0
Flood,Galmaduwa,Ampara,2003,5,7,5.32,0
Flood,Pulungasmulla,Ampara,2000,12,1,17.84,0
Flood,Panama,Ampara,2007,1,5,8.75,0
Flood,Dehiattakandiya,Ampara,2012,12,13,17.84,0
Flood,Uhana,Ampara,2012,12,11,17.84,0
Flood,Damana,Ampara,2012,12,25,17.84,0
Flood,Thirukkovil,Ampara,2012,12,27,17.84,0
Flood,Pothuvil,Ampara,2012,12,3,17.84,0
Flood,Ampara,Ampara,2012,12,24,17.84,0
Flood,Hulannuga,Ampara,2006,12,25,17.84,0
Flood,Sammanthurai,Ampara,2003,12,4,17.84,0
Flood,Miriswatta,Ampara,2005,6,4,2.32,0
Flood,Kalappukaddu,Ampara,2007,1,27,8.75,0
Flood,Damana,Ampara,2000,2,4,7.41,1
Flood,Akkaraipattukarunkoditivu,Ampara,2000,2,4,7.41,1
Flood,Ninthavur,Ampara,2008,3,7,2.53,0
Flood,Ninthavur,Ampara,2008,1,9,8.75,0
Flood,Pothuvil,Ampara,2006,12,24,17.84,0
Flood,Pothuvil,Ampara,2007,1,12,8.75,0
Flood,Eragama,Ampara,2008,1,30,8.75,0
Flood,Eragama,Ampara,2008,12,4,17.84,0
Flood,Samanthurai,Ampara,2009,11,28,13.56,0
Flood,Eragama,Ampara,2007,10,16,9.82,0
Flood,Eragama,Ampara,2007,9,13,5.75,0
Flood,Thikkanagar,Ampara,2004,10,12,9.82,1
Flood,Eragama,Ampara,2007,1,23,8.75,0
Flood,Thirukkovil,Ampara,2003,1,5,8.75,1
Flood,Thirukkovil,Ampara,2000,12,26,17.84,1
Flood,Sayinthamarathu,Ampara,2002,11,5,13.56,1
Flood,Ninthavur,Ampara,2001,12,10,17.84,1
Flood,Ninthavur,Ampara,2002,11,5,13.56,1
Flood,Kalmunai,Ampara,2003,1,5,8.75,1
Flood,Navithanveli,Ampara,2003,1,24,8.75,1
Flood,Uhana,Ampara,2019,12,15,17.84,0
Flood,Pothuvil,Ampara,2005,12,10,17.84,1
Flood,Samanthurai,Ampara,2002,11,5,13.56,1
Flood,Eragama,Ampara,2006,12,3,17.84,0
Flood,Eragama,Ampara,2006,12,26,17.84,0
Flood,Eragama,Ampara,2009,10,28,9.82,0
Flood,Ampara,Ampara,2000,2,4,7.41,1
Flood,Mahaoya,Ampara,2007,12,22,17.84,0
Flood,Mahaoya,Ampara,2003,12,3,17.84,0
Flood,Mahaoya,Ampara,2002,11,6,13.56,0
Flood,Uhana,Ampara,2006,1,11,8.75,0
Flood,Uhana,Ampara,2009,4,21,3.86,0
Flood,Ampara,Ampara,2008,5,12,5.32,0
Flood,Ampara,Ampara,2008,3,23,2.53,0
Flood,Ampara,Ampara,2008,3,13,2.53,0
Flood,Damana,Ampara,2008,1,27,8.75,0
Flood,Damana,Ampara,2007,4,14,3.86,0
Flood,Alayadiwembu,Ampara,2005,1,6,8.75,1
Flood,Navithanveli,Ampara,2006,10,26,9.82,0
Flood,Kalmunai,Ampara,2008,1,29,8.75,0
Flood,Uhana,Ampara,2004,12,3,17.84,0
Flood,Uhana,Ampara,2006,8,7,3.66,0
Flood,Mahaoya,Ampara,2008,1,21,8.75,0
Flood,Padiyathalawa,Ampara,2006,12,3,17.84,0
Flood,Padiyathalawa,Ampara,2008,1,20,8.75,0
Flood,Karativu,Ampara,2001,1,30,8.75,1
Flood,Sainthamarathu,Ampara,2004,3,11,2.53,1
Flood,Dehiattakandiya,Ampara,2000,11,18,13.56,1
Flood,Ampara,Ampara,2000,11,18,13.56,1
Flood,Navithanveli,Ampara,2006,1,30,8.75,0
Flood,Addalachchenai,Ampara,2000,2,4,7.41,1
Flood,Alayadiwembu,Ampara,2007,4,19,3.86,1
Flood,Lahugala,Ampara,2006,12,21,17.84,1
Flood,Lahugala,Ampara,2004,12,10,17.84,1
Flood,Alayadiwembu,Ampara,2004,12,10,17.84,1
Flood,Akkaraipattukarunkoditivu,Ampara,2004,12,10,17.84,1
Flood,Ninthavur,Ampara,2004,12,10,17.84,1
Flood,Kalmunai Muslim Section,Ampara,2004,10,12,9.82,1
Flood,Karativu,Ampara,2004,10,12,9.82,1
Flood,Sangamam,Ampara,2004,10,12,9.82,1
Flood,Ninthavur,Ampara,2004,10,12,9.82,1
Flood,Akkaraipattu,Ampara,2004,10,12,9.82,1
Flood,Kolavil,Ampara,2004,10,12,9.82,1
Flood,Panama,Ampara,2004,10,12,9.82,1
Flood,Thirukkovil,Ampara,2004,12,10,17.84,1
Flood,Karativu,Ampara,2004,12,10,17.84,1
Flood,Kalmunai,Ampara,2004,12,10,17.84,1
Flood,Kalmunai,Ampara,2000,11,18,13.56,1
Flood,Akkaraipattukarunkoditivu,Ampara,2000,11,18,13.56,1
Flood,Mahaoya,Ampara,2008,3,9,2.53,0
Flood,Thirukkovil,Ampara,2000,11,18,13.56,1
Flood,Lahugala,Ampara,2000,2,1,7.41,1
Flood,Pothuvil,Ampara,2000,2,4,7.41,1
Flood,Thirukkovil,Ampara,2000,2,4,7.41,1
Flood,Padiyathalawa,Ampara,2003,9,3,5.75,1
Flood,Mahaoya,Ampara,2002,2,1,7.41,1
Flood,Lahugala,Ampara,2006,12,17,17.84,1
Flood,Damana,Ampara,2005,1,6,8.75,1
Flood,Padiyathalawa,Ampara,2000,12,20,17.84,1
Flood,Padiyathalawa,Ampara,2005,1,6,8.75,1
Flood,Damana,Ampara,2003,1,5,8.75,1
Flood,Damana,Ampara,2004,12,10,17.84,1
Flood,Dehiattakandiya,Ampara,2004,12,10,17.84,1
Flood,Pothuvil,Ampara,2000,11,18,13.56,1
Flood,Alayadiwembu,Ampara,2000,12,26,17.84,1
Flood,Akkaraipattukarunkoditivu,Ampara,2000,12,26,17.84,1
Flood,Addalachchenai,Ampara,2000,12,26,17.84,1
Flood,Kalmunai,Ampara,2000,12,26,17.84,1
Flood,Samanthurai,Ampara,2003,12,25,17.84,1
Flood,Damana,Ampara,2000,4,2,3.86,1
Flood,Akkaraipattu,Ampara,2000,4,2,3.86,1
Flood,Sangamam,Ampara,2000,4,2,3.86,1
Flood,Komarie,Ampara,2000,4,2,3.86,1
Flood,Panama,Ampara,2000,1,2,8.75,1
Flood,Sangamam,Ampara,2000,11,18,13.56,1
Flood,Akkaraipattu,Ampara,2000,11,18,13.56,1
Flood,Kalmunai Muslim Section,Ampara,2000,11,18,13.56,1
Flood,Hulannuge,Ampara,2007,1,14,8.75,1
Flood,Dehiattakandiya,Ampara,2006,12,20,17.84,1
Flood,Dehiattakandiya,Ampara,2001,1,18,8.75,1
Flood,Thikkanagar,Ampara,2000,4,2,3.86,1
