Disaster,Location,District,Month,Day,Rainfall(mm),Landslide
Landslide,Nochchiyagama,Anuradhapura,11,6,7.92,0
Landslide,Nochchiyagama,Anuradhapura,11,16,7.92,0
Landslide,Nochchiyagama,Anuradhapura,11,12,7.92,0
Landslide,Rankethgama,Anuradhapura,11,21,7.92,0
Landslide,Nochchiyagama,Anuradhapura,11,19,7.92,1
Landslide,Nochchiyagama,Anuradhapura,11,18,7.92,1
Landslide,Nochchiyagama,Anuradhapura,11,17,7.92,1
Landslide,Rankethgama,Anuradhapura,11,13,7.92,0
Landslide,Rankethgama,Anuradhapura,11,18,7.92,1
Landslide,Rankethgama,Anuradhapura,11,19,7.92,1
Landslide,Rankethgama,Anuradhapura,11,17,7.92,1
Landslide,Rankethgama,Anuradhapura,11,28,7.92,0
Landslide,Badulla,Badulla,12,26,7.19,1
Landslide,Haliela,Badulla,12,26,7.19,1
Landslide,Passara,Badulla,12,22,7.19,1
Landslide,Uva Paranagama,Badulla,12,22,7.19,1
Landslide,Lunugala,Badulla,12,28,7.19,0
Landslide,Welimada,Badulla,12,14,7.19,1
Landslide,Kandaketiya,Badulla,11,23,9.3,0
Landslide,Haliela,Badulla,1,13,4.48,0
Landslide,Ambagasdowa,Badulla,1,25,4.48,0
Landslide,Haldummulla,Badulla,11,20,9.3,1
Landslide,Maussagolla East,Badulla,5,18,4.55,0
Landslide,Haldummulla,Badulla,10,29,9.03,1
Landslide,Lunugala,Badulla,2,25,3.36,0
Landslide,Lunugala,Badulla,1,16,4.48,0
Landslide,Lunugala,Badulla,12,26,7.19,1
Landslide,Haputale,Badulla,12,23,7.19,1
Landslide,Kandaketiya,Badulla,12,26,7.19,1
Landslide,Haldummulla,Badulla,11,10,9.3,1
Landslide,Welimada,Badulla,12,25,7.19,1
Landslide,Bandarawela,Badulla,12,25,7.19,1
Landslide,Soranathota,Badulla,12,27,7.19,1
Landslide,Mahiyanganaya,Badulla,12,27,7.19,1
Landslide,Lunugala,Badulla,12,1,7.19,0
Landslide,Lunugala,Badulla,12,27,7.19,0
Landslide,Passara,Badulla,5,12,4.55,1
Landslide,Uva Paranagama,Badulla,2,5,3.36,0
Landslide,Maussagolla,Badulla,3,30,2.84,0
Landslide,Palawatta,Badulla,5,25,4.55,0
Landslide,Welgolla,Badulla,5,14,4.55,0
Landslide,Rideemaliyadda,Badulla,12,26,7.19,1
Landslide,Wewessa,Badulla,10,25,9.03,0
Landslide,Haliela,Badulla,3,15,2.84,0
Landslide,Meeriyabedda,Badulla,5,7,4.55,0
Landslide,Wewegama,Badulla,2,6,3.36,0
Landslide,Maspanna,Badulla,2,25,3.36,0
Landslide,Mahakele,Badulla,1,28,4.48,0
Landslide,Lunugala,Badulla,3,17,2.84,0
Landslide,Lunugala,Badulla,10,7,9.03,0
Landslide,Lunugala,Badulla,10,5,9.03,0
Landslide,Lunugala,Badulla,11,18,9.3,0
Landslide,Dodamwatta,Badulla,1,8,4.48,0
Landslide,Lunugala,Badulla,12,19,7.19,0
Landslide,Ella,Badulla,5,29,4.55,1
Landslide,Meegahakivula,Badulla,6,14,1.8,0
Landslide,Meegahakivula,Badulla,6,3,1.8,0
Landslide,Nallamale,Badulla,12,12,7.19,1
Landslide,Lunugala,Badulla,11,12,9.3,0
Landslide,Rideemaliyadda,Badulla,1,11,4.48,0
Landslide,Soranathota,Badulla,1,28,4.48,0
Landslide,Lunugala,Badulla,12,7,7.19,0
Landslide,Welimada,Badulla,2,14,3.36,1
Landslide,Haldummulla,Badulla,12,7,7.19,0
Landslide,Kandaketiya,Badulla,6,21,1.8,0
Landslide,Haliela,Badulla,12,8,7.19,0
Landslide,Soranathota,Badulla,7,19,1.68,0
Landslide,Haldummulla,Badulla,4,30,5.63,0
Landslide,Wewessa,Badulla,11,10,9.3,0
Landslide,Haliela,Badulla,11,9,9.3,0
Landslide,Maussagolla,Badulla,11,23,9.3,0
Landslide,Koslanda,Badulla,11,30,9.3,0
Landslide,Bandarawela,Badulla,11,4,9.3,0
Landslide,Ella,Badulla,11,18,9.3,0
Landslide,Haputale,Badulla,12,14,7.19,0
Landslide,Passara,Badulla,12,12,7.19,0
Landslide,Badulla,Badulla,1,4,4.48,0
Landslide,Soranathota,Badulla,1,2,4.48,0
Landslide,Kalupahana,Badulla,5,21,4.55,0
Landslide,Beragala,Badulla,4,6,5.63,0
Landslide,Colombobadulla Railway,Badulla,11,6,9.3,0
Landslide,Marangahawela,Badulla,11,21,9.3,0
Landslide,Bandarawela,Badulla,10,22,9.03,0
Landslide,Ambathenna,Badulla,5,22,4.55,0
Landslide,Haliela,Badulla,2,12,3.36,0
Landslide,Galkanda,Badulla,11,15,9.3,0
Landslide,Dimbulana,Badulla,12,25,7.19,0
Landslide,Maspanna,Badulla,11,10,9.3,0
Landslide,Sapugolla,Badulla,9,16,4.33,0
Landslide,Ambagasdoowa,Badulla,11,14,9.3,0
Landslide,Welimada,Badulla,6,8,1.8,0
Landslide,Bandarawela,Badulla,7,29,1.68,0
Landslide,Bandarawela,Badulla,7,1,1.68,0
Landslide,Beraliyapola,Badulla,12,25,7.19,0
Landslide,Bandarawela,Badulla,7,4,1.68,0
Landslide,Pannalawela,Badulla,12,2,7.19,0
Landslide,Kotawera Pahalagama,Badulla,12,13,7.19,0
Landslide,Wewegama,Badulla,12,3,7.19,0
Landslide,Ulugala,Badulla,9,26,4.33,0
Landslide,Karangahaulpatha,Badulla,11,9,9.3,0
Landslide,Paranagama,Badulla,5,7,4.55,0
Landslide,Welamedagama,Badulla,12,5,7.19,0
Landslide,Paranagama,Badulla,11,26,9.3,0
Landslide,Ulugala,Badulla,11,9,9.3,0
Landslide,Udaperuwa,Badulla,11,26,9.3,0
Landslide,Kendagolla,Badulla,6,8,1.8,0
Landslide,Morethota,Badulla,5,7,4.55,0
Landslide,Bandarawela,Badulla,12,3,7.19,0
Landslide,Haldummulla,Badulla,3,28,2.84,1
Landslide,Bandarawela,Badulla,4,23,5.63,0
Landslide,Uduwara,Badulla,3,1,2.84,0
Landslide,Kadana,Badulla,3,21,2.84,0
Landslide,Haliela,Badulla,3,5,2.84,0
Landslide,Uda Kohovila,Badulla,8,21,2.39,0
Landslide,Uduwara,Badulla,12,16,7.19,0
Landslide,Nilathugoda,Badulla,12,8,7.19,0
Landslide,Haliela,Badulla,12,7,7.19,0
Landslide,Welimada,Badulla,12,22,7.19,0
Landslide,Medawela,Badulla,6,23,1.8,0
Landslide,Bandarawela,Badulla,4,29,5.63,0
Landslide,Alugolla,Badulla,12,1,7.19,0
Landslide,Bambarapana,Badulla,12,26,7.19,0
Landslide,Bambarapana,Badulla,12,3,7.19,0
Landslide,Bambarapana,Badulla,12,29,7.19,0
Landslide,Haliela,Badulla,3,23,2.84,0
Landslide,Wirahawatta,Badulla,12,7,7.19,0
Landslide,Mahakumbura Ella,Badulla,2,8,3.36,0
Landslide,Bandarawela,Badulla,3,20,2.84,0
Landslide,Bandarawela,Badulla,3,11,2.84,0
Landslide,Silmiyapura,Badulla,12,4,7.19,0
Landslide,Silmiyapura,Badulla,2,9,3.36,0
Landslide,Ranasinghagama,Badulla,4,8,5.63,0
Landslide,Passara,Badulla,3,21,2.84,0
Landslide,Ella,Badulla,4,7,5.63,0
Landslide,Bandarawela,Badulla,4,13,5.63,0
Landslide,Lunugala,Badulla,1,30,4.48,0
Landslide,Lunugala,Badulla,12,3,7.19,0
Landslide,Lunugala,Badulla,12,18,7.19,0
Landslide,Passara,Badulla,12,18,7.19,0
Landslide,Passara,Badulla,1,19,4.48,0
Landslide,Ohiya,Badulla,12,30,7.19,0
Landslide,Passara,Badulla,2,16,3.36,0
Landslide,Uva Paranagama,Badulla,11,23,9.3,0
Landslide,Lunugala,Badulla,12,30,7.19,0
Landslide,Bandarawela,Badulla,3,4,2.84,0
Landslide,Bandarawela,Badulla,1,4,4.48,0
Landslide,Bandarawela,Badulla,2,9,3.36,0
Landslide,Ambewela,Badulla,11,15,9.3,0
Landslide,Haputale,Badulla,5,7,4.55,1
Landslide,Welimada,Badulla,5,7,4.55,1
Landslide,Haldummulla,Badulla,5,7,4.55,1
Landslide,Hulankapolla,Badulla,1,20,4.48,0
Landslide,Mudunpitawatta,Badulla,11,6,9.3,0
Landslide,Galedanda,Badulla,5,6,4.55,0
Landslide,Wethalawa,Badulla,12,18,7.19,0
Landslide,Pitiyakumbura,Badulla,12,7,7.19,0
Landslide,Ambewela,Badulla,12,6,7.19,0
Landslide,Boragas,Badulla,12,30,7.19,0
Landslide,Haputale,Badulla,3,11,2.84,1
Landslide,Hulankapolla,Badulla,12,2,7.19,0
Landslide,Boragas,Badulla,12,28,7.19,0
Landslide,Bandarawela,Badulla,4,4,5.63,0
Landslide,Bandarawela,Badulla,2,4,3.36,0
Landslide,Bandarawela,Badulla,3,17,2.84,0
Landslide,Welimada Town,Badulla,12,5,7.19,0
Landslide,Alugolla,Badulla,12,27,7.19,0
Landslide,Galahagama,Badulla,9,11,4.33,1
Landslide,Udakohovila,Badulla,1,3,4.48,0
Landslide,Bandarawela,Badulla,1,21,4.48,0
Landslide,Lunugala,Badulla,12,16,7.19,0
Landslide,Godunna,Badulla,2,6,3.36,1
Landslide,Weerakongama,Badulla,12,14,7.19,1
Landslide,Welimada,Badulla,12,16,7.19,0
Landslide,Springvally Estate,Badulla,3,13,2.84,1
Landslide,Springvalley,Badulla,3,13,2.84,1
Landslide,Bandarawela,Badulla,4,1,5.63,0
Landslide,Thaldena,Badulla,1,1,4.48,1
Landslide,Pitamaruwa,Badulla,1,1,4.48,1
Landslide,Ketawatta,Badulla,1,1,4.48,1
Landslide,Meegahakivula,Badulla,1,1,4.48,1
Landslide,Hapuwala Kumbura,Badulla,12,14,7.19,1
Landslide,Uduwara,Badulla,12,14,7.19,1
Landslide,Kottalbedda,Badulla,11,11,9.3,1
Landslide,Hopton,Badulla,11,11,9.3,1
Landslide,Komarika,Badulla,1,1,4.48,1
Landslide,Haputhalegama,Badulla,11,17,9.3,1
Landslide,Haldummulla,Badulla,4,29,5.63,0
Landslide,Haldummulla,Badulla,12,20,7.19,0
Landslide,Haputale,Badulla,1,16,4.48,1
Landslide,Kandaketiya,Badulla,2,13,3.36,0
Landslide,Haldummulla,Badulla,5,6,4.55,1
Landslide,Haldummulla,Badulla,5,11,4.55,1
Landslide,Uva Paranagama,Badulla,12,15,7.19,1
Landslide,Haputale,Badulla,11,20,9.3,1
Landslide,Welimada,Badulla,12,25,7.19,0
Landslide,Haldummulla,Badulla,4,11,5.63,0
Landslide,Kandaketiya,Badulla,1,15,4.48,1
Landslide,Haputale,Badulla,1,21,4.48,1
Landslide,Soranathota,Badulla,10,19,9.03,0
Landslide,Kandaketiya,Badulla,12,15,7.19,0
Landslide,Kandaketiya,Badulla,12,11,7.19,0
Landslide,Beragala,Badulla,11,16,9.3,0
Landslide,Haldummulla,Badulla,10,12,9.03,0
Landslide,Haldummulla,Badulla,11,1,9.3,0
Landslide,Uva Paranagama,Badulla,1,2,4.48,1
Landslide,Soranathota,Badulla,12,16,7.19,0
Landslide,Ranjallawa,Badulla,11,17,9.3,1
Landslide,Haputhale,Badulla,11,17,9.3,1
Landslide,Demodara,Badulla,5,12,4.55,0
Landslide,Vidurupola,Badulla,12,14,7.19,1
Landslide,Gediyaroda,Badulla,5,4,4.55,1
Landslide,Mathetilla,Badulla,1,18,4.48,1
Landslide,Batawatta,Badulla,12,20,7.19,1
Landslide,Kandaketiya,Badulla,1,11,4.48,1
Landslide,Soranathota,Badulla,1,15,4.48,1
Landslide,Bokanoruwa,Badulla,12,2,7.19,1
Landslide,Haliela,Badulla,1,15,4.48,1
Landslide,Keppetipola,Badulla,2,23,3.36,0
Landslide,Mirahawatta,Badulla,12,30,7.19,1
Landslide,Bandarawela,Badulla,12,14,7.19,1
Landslide,Haldummulla,Badulla,4,26,5.63,1
Landslide,Haldummulla,Badulla,5,26,4.55,1
Landslide,Koslanda,Badulla,10,25,9.03,0
Landslide,Welimada,Badulla,12,12,7.19,1
Landslide,Medawela West,Badulla,11,11,9.3,1
Landslide,Galkanda,Badulla,11,17,9.3,1
Landslide,Kotabanda D,Badulla,10,22,9.03,0
Landslide,Thalhenapuswallawa,Badulla,10,11,9.03,0
Landslide,Haldummulla,Badulla,11,22,9.3,1
Landslide,Haputale,Badulla,11,28,9.3,1
Landslide,Lunuwatta,Badulla,12,11,7.19,1
Landslide,Unapanna,Badulla,12,11,7.19,1
Landslide,Haldummulla,Badulla,11,28,9.3,1
Landslide,Passara,Badulla,11,28,9.3,1
Landslide,Badulla,Badulla,11,28,9.3,1
Landslide,Kotabasna,Badulla,10,25,9.03,0
Landslide,Badulla,Badulla,10,22,9.03,1
Landslide,Haldummulla,Badulla,11,10,9.3,0
Landslide,Haldummulla,Badulla,5,1,4.55,0
Landslide,Haldummulla,Badulla,11,16,9.3,0
Landslide,Haldummulla,Badulla,11,30,9.3,0
Landslide,Haldummulla,Badulla,11,18,9.3,0
Landslide,Kandaketiya,Badulla,1,22,4.48,0
Landslide,Kailagoda,Badulla,6,14,1.8,0
Landslide,Haldummulla,Badulla,4,1,5.63,0
Landslide,Soranathota,Badulla,12,7,7.19,0
Landslide,Haldummulla,Badulla,11,25,9.3,1
Landslide,Uva Paranagama,Badulla,11,14,9.3,0
Landslide,Badulla,Badulla,11,9,9.3,0
Landslide,Passara,Badulla,11,18,9.3,0
Landslide,Haldummulla,Badulla,11,7,9.3,0
Landslide,Haputale,Badulla,11,4,9.3,0
Landslide,Haputale,Badulla,11,11,9.3,0
Landslide,Uva Paranagama,Badulla,11,9,9.3,0
Landslide,Haldummulla,Badulla,11,13,9.3,0
Landslide,Soranathota,Badulla,4,10,5.63,0
Landslide,Beragala,Badulla,9,6,4.33,0
Landslide,Koslanda,Badulla,6,30,1.8,0
Landslide,Haliela,Badulla,12,15,7.19,0
Landslide,Colombobadulla Railway,Badulla,1,30,4.48,0
Landslide,Yahalewela,Badulla,11,27,9.3,1
Landslide,Malangamuwa,Badulla,12,3,7.19,1
Landslide,Gediyaroda,Badulla,9,1,4.33,1
Landslide,Dikpitiya,Badulla,9,1,4.33,1
Landslide,Uva Paranagama,Badulla,11,17,9.3,0
Landslide,Andeniya,Badulla,8,1,2.39,1
Landslide,Badulla,Badulla,10,16,9.03,0
Landslide,Badulla,Badulla,1,6,4.48,1
Landslide,Dikwella,Badulla,3,26,2.84,0
Landslide,Kohovila,Badulla,1,10,4.48,0
Landslide,Creig Watta,Badulla,10,14,9.03,0
Landslide,Godunna,Badulla,11,6,9.3,0
Landslide,Madugamuwa,Badulla,11,4,9.3,0
Landslide,Kirivehera,Badulla,11,18,9.3,0
Landslide,Kivulegedara,Badulla,11,19,9.3,0
Landslide,Soranathota,Badulla,12,8,7.19,0
Landslide,Thalakumbura,Badulla,11,8,9.3,0
Landslide,Thennapanguwa,Badulla,11,30,9.3,0
Landslide,Beramada,Badulla,11,11,9.3,0
Landslide,Bopitiya,Badulla,11,19,9.3,0
Landslide,Bandarawela,Badulla,1,6,4.48,0
Landslide,Badulla,Badulla,3,2,2.84,0
Landslide,Ella,Badulla,11,29,9.3,0
Landslide,Rendapola,Badulla,12,28,7.19,0
Landslide,Galauda,Badulla,11,5,9.3,0
Landslide,Udagama,Badulla,12,14,7.19,1
Landslide,Pattipola,Badulla,12,14,7.19,1
Landslide,Morethota,Badulla,12,14,7.19,1
Landslide,Kotabakma,Badulla,11,20,9.3,1
Landslide,Ranasinghagama,Badulla,1,3,4.48,1
Landslide,Viharagala,Badulla,10,2,9.03,1
Landslide,Palawatta,Badulla,3,13,2.84,1
Landslide,Kahataruppa,Badulla,3,13,2.84,1
Landslide,Dambewela,Badulla,8,2,2.39,1
Landslide,Koslanda,Badulla,4,27,5.63,1
Landslide,Ilukkaniggedara,Badulla,12,24,7.19,1
Landslide,Alakolagala,Badulla,11,3,9.3,0
Landslide,Maussagolla,Badulla,12,3,7.19,1
Landslide,Ukdaduhena,Badulla,12,21,7.19,1
Landslide,Palagolla,Badulla,12,3,7.19,1
Landslide,Kanawerella East,Badulla,7,1,1.68,1
Landslide,Maussagolla West,Badulla,2,13,3.36,1
Landslide,Werawella,Badulla,7,11,1.68,1
Landslide,Kindigoda,Badulla,2,2,3.36,1
Landslide,Lunugala Town,Badulla,11,3,9.3,0
Landslide,Mahawattegama,Badulla,4,1,5.63,1
Landslide,Singhepura,Badulla,7,1,1.68,1
Landslide,Jagulla,Badulla,2,15,3.36,1
Landslide,Glananor,Badulla,12,21,7.19,1
Landslide,Bandarawela,Badulla,10,20,9.03,1
Landslide,Rideepana,Badulla,7,30,1.68,1
Landslide,Bogahamaditta,Badulla,12,15,7.19,1
Landslide,Mudunpita,Badulla,3,14,2.84,1
Landslide,Kandana,Badulla,3,13,2.84,1
Landslide,Godegama,Badulla,3,13,2.84,1
Landslide,Hapuwalakumbura,Badulla,3,13,2.84,1
Landslide,Unagolla,Badulla,3,13,2.84,1
Landslide,Mugunumatha West,Badulla,3,13,2.84,1
Landslide,Mugunumatha East,Badulla,3,13,2.84,1
Landslide,Pattipola,Badulla,3,13,2.84,1
Landslide,Hali Ela,Badulla,3,13,2.84,1
Landslide,Samagipura,Badulla,3,13,2.84,1
Landslide,Bogahamaditta,Badulla,3,13,2.84,1
Landslide,Mahawattegama,Badulla,3,13,2.84,1
Landslide,Mahawattegama,Badulla,12,3,7.19,1
Landslide,Badulla,Badulla,1,10,4.48,1
Landslide,Bandarawela,Badulla,12,30,7.19,0
Landslide,Udagama West,Badulla,1,8,4.48,0
Landslide,Urahella Watta,Badulla,3,7,2.84,0
Landslide,Haputhalegama,Badulla,11,20,9.3,0
Landslide,Ranjallawa,Badulla,11,29,9.3,0
Landslide,Galkanda,Badulla,11,25,9.3,0
Landslide,Haputhale,Badulla,11,1,9.3,0
Landslide,Lunuwatta,Badulla,12,27,7.19,0
Landslide,Unapanna,Badulla,12,3,7.19,0
Landslide,Uva Paranagama,Badulla,6,28,1.8,0
Landslide,Hopton,Badulla,11,13,9.3,0
Landslide,Uva Paranagama,Badulla,7,4,1.68,0
Landslide,Haliela,Badulla,12,3,7.19,0
Landslide,Haliela,Badulla,1,24,4.48,0
Landslide,Haliela,Badulla,4,14,5.63,0
Landslide,Bokanoruwa,Badulla,12,4,7.19,0
Landslide,Maussagolla East,Badulla,5,15,4.55,1
Landslide,Vidurupola,Badulla,12,3,7.19,0
Landslide,Gediyaroda,Badulla,5,28,4.55,0
Landslide,Haliela,Badulla,12,13,7.19,0
Landslide,Mathetilla,Badulla,1,9,4.48,0
Landslide,Kottalbedda,Badulla,11,6,9.3,0
Landslide,Hapuwala Kumbura,Badulla,12,29,7.19,0
Landslide,Werawella,Badulla,7,4,1.68,0
Landslide,Kindigoda,Badulla,2,10,3.36,0
Landslide,Galahagama,Badulla,9,21,4.33,0
Landslide,Haliela,Badulla,1,1,4.48,0
Landslide,Beragala,Badulla,4,26,5.63,1
Landslide,Kalupahana,Badulla,5,26,4.55,1
Landslide,Nallamale,Badulla,12,27,7.19,0
Landslide,Uduwara,Badulla,12,21,7.19,0
Landslide,Godunna,Badulla,2,15,3.36,0
