Disaster,Location,District,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Kalmunai Tamil,Ampara,2,28,8.2,1
Cyclone,Uhana,Ampara,11,1,7.1,1
Cyclone,Uhana,Ampara,12,1,9.1,1
Cyclone,Dehiattakandiya,Ampara,1,5,9.6,1
Cyclone,Thirukkovil,Ampara,7,2,9.6,0
Cyclone,Uhana,Ampara,9,25,7.7,0
Cyclone,Mahaoya,Ampara,9,7,7.7,0
Cyclone,Ampara,Ampara,8,14,8.9,1
Cyclone,Thirukkovil,Ampara,12,14,9.1,0
Cyclone,Mahaoya,Ampara,5,22,7.5,0
Cyclone,Mahaoya,Ampara,5,11,7.5,0
Cyclone,Uhana,Ampara,6,30,9.7,0
Cyclone,Ampara,Ampara,6,14,9.7,0
Cyclone,Samanthurai,Ampara,6,22,9.7,0
Cyclone,Damana,Ampara,8,27,8.9,0
Cyclone,Samanthurai,Ampara,9,13,7.7,1
Cyclone,Addalachchenai,Ampara,9,13,7.7,1
Cyclone,Sayinthamarathu,Ampara,9,13,7.7,1
Cyclone,Damana,Ampara,9,13,7.7,1
Cyclone,Kalmunai,Ampara,9,14,7.7,1
Cyclone,Padiyathalawa,Ampara,12,5,9.1,1
Cyclone,Uhana,Ampara,9,2,7.7,1
Cyclone,Eragama,Ampara,9,23,7.7,1
Cyclone,Eragama,Ampara,1,10,9.6,1
Cyclone,Ampara,Ampara,9,6,7.7,1
Cyclone,Eragama,Ampara,4,10,5.7,1
Cyclone,Padiyathalawa,Ampara,12,26,9.1,1
Cyclone,Eragama,Ampara,1,2,9.6,1
Cyclone,Eragama,Ampara,11,2,7.1,1
Cyclone,Damana,Ampara,9,2,7.7,1
Cyclone,Damana,Ampara,10,13,6.2,0
Cyclone,Damana,Ampara,9,24,7.7,1
Cyclone,Akkaraipattukarunkoditivu,Ampara,7,4,9.6,1
Cyclone,Samanthurai,Ampara,1,10,9.6,1
Cyclone,Mahaoya,Ampara,7,14,9.6,1
Cyclone,Uhana,Ampara,7,17,9.6,1
Cyclone,Lahugala,Ampara,7,18,9.6,1
Cyclone,Damana,Ampara,8,18,8.9,0
Cyclone,Dehiattakandiya,Ampara,8,7,8.9,0
Cyclone,Alayadiwembu,Ampara,5,15,7.5,0
Cyclone,Addalachchenai,Ampara,5,20,7.5,0
Cyclone,Akkaraipattukarunkoditivu,Ampara,5,3,7.5,0
Cyclone,Uhana,Ampara,7,23,9.6,1
Cyclone,Damana,Ampara,7,24,9.6,1
Cyclone,Uhana,Ampara,7,26,9.6,1
Cyclone,Pothuvil,Ampara,7,27,9.6,1
Cyclone,Uhana,Ampara,7,28,9.6,1
Cyclone,Uhana,Ampara,8,1,8.9,1
Cyclone,Ampara,Ampara,8,1,8.9,1
Cyclone,Mahaoya,Ampara,9,5,7.7,1
Cyclone,Padiyathalawa,Ampara,9,5,7.7,1
Cyclone,Pothuvil,Ampara,9,5,7.7,1
Cyclone,Padiyathalawa,Ampara,9,24,7.7,1
Cyclone,Dehiattakandiya,Ampara,4,29,5.7,1
Cyclone,Samanthurai,Ampara,4,12,5.7,1
Cyclone,Damana,Ampara,4,12,5.7,1
Cyclone,Mahaoya,Ampara,8,25,8.9,0
Cyclone,Uhana,Ampara,7,15,9.6,0
Cyclone,Uhana,Ampara,10,12,6.2,0
Cyclone,Addalachchenai,Ampara,12,26,9.1,1
Cyclone,Damana,Ampara,7,20,9.6,1
Cyclone,Dehiattakandiya,Ampara,5,2,7.5,1
Cyclone,Mahaoya,Ampara,9,3,7.7,1
Cyclone,Akkaraipattukarunkoditivu,Ampara,10,10,6.2,1
Cyclone,Damana,Ampara,7,9,9.6,1
Cyclone,Dehiattakandiya,Ampara,9,26,7.7,1
Cyclone,Uhana,Ampara,9,27,7.7,1
Cyclone,Galahitiyagoda,Ampara,8,19,8.9,1
Cyclone,Rajagalathenna North,Ampara,4,10,5.7,1
Cyclone,Gonagolla,Ampara,8,21,8.9,1
Cyclone,Ambamalthalawa,Ampara,8,17,8.9,1
Cyclone,Namal Oya,Ampara,8,6,8.9,1
Cyclone,Pansalgoda,Ampara,1,6,9.6,1
Cyclone,Panama North,Ampara,6,25,9.7,1
Cyclone,A Janapadaya,Ampara,8,31,8.9,1
Cyclone,Uksiripura,Ampara,2,11,8.2,1
Cyclone,Muwangala,Ampara,8,17,8.9,1
Cyclone,Keenawatta,Ampara,9,15,7.7,1
Cyclone,Bakmitiyawa,Ampara,2,10,8.2,1
Cyclone,Ambalanoya,Ampara,8,21,8.9,1
Cyclone,Galmaduwa,Ampara,8,17,8.9,1
Cyclone,Pannalgama,Ampara,7,17,9.6,1
Cyclone,Thimbirigolla,Ampara,11,6,7.1,1
Cyclone,Thimbirigolla,Ampara,9,6,7.7,1
Cyclone,Diviyagala,Ampara,9,10,7.7,1
Cyclone,Helagampura,Ampara,9,15,7.7,1
Cyclone,Helagampura,Ampara,8,17,8.9,1
Cyclone,Madana,Ampara,6,20,9.7,1
Cyclone,Ambalanoya,Ampara,1,25,9.6,1
Cyclone,Galkanda,Ampara,7,26,9.6,1
Cyclone,A Janapadaya,Ampara,11,7,7.1,1
Cyclone,Galkanda,Ampara,11,8,7.1,1
Cyclone,Galkanda,Ampara,11,7,7.1,1
Cyclone,Galkanda,Ampara,6,25,9.7,1
Cyclone,Moragahapallama,Ampara,12,27,9.1,1
Cyclone,Galgamuwa,Ampara,5,27,7.5,1
Cyclone,Tempitiya,Ampara,4,1,5.7,1
Cyclone,Damana,Ampara,9,23,7.7,1
Cyclone,Kekirihena,Ampara,3,19,6.6,1
Cyclone,Unapana,Ampara,5,18,7.5,1
Cyclone,Galkanda,Ampara,9,11,7.7,0
Cyclone,Galkanda,Ampara,9,10,7.7,0
Cyclone,Galkanda,Ampara,9,18,7.7,0
Cyclone,Thottama,Ampara,2,13,8.2,0
Cyclone,Thottama,Ampara,2,21,8.2,0
Cyclone,Thottama,Ampara,2,26,8.2,0
Cyclone,Varipathanchenai,Ampara,2,6,8.2,0
Cyclone,Varipathanchenai,Ampara,2,6,8.2,0
Cyclone,Dorakumbura,Ampara,12,14,9.1,0
Cyclone,Irakkamam,Ampara,10,21,6.2,0
Cyclone,Kalmunai Tamil,Ampara,2,3,8.2,0
Cyclone,Samanthurai,Ampara,3,24,6.6,0
Cyclone,Samanthurai,Ampara,3,7,6.6,0
Cyclone,Navithanveli,Ampara,3,1,6.6,0
Cyclone,Uhana,Ampara,10,28,6.2,1
Cyclone,Damana,Ampara,12,24,9.1,0
Cyclone,Senanayakapura,Ampara,6,3,9.7,0
Cyclone,Varipathanchenai,Ampara,10,17,6.2,0
Cyclone,Irakkamam,Ampara,9,4,7.7,0
Cyclone,Irakkamam,Ampara,9,12,7.7,0
Cyclone,Senagama,Ampara,2,4,8.2,0
Cyclone,Dorakumbura,Ampara,5,21,7.5,0
Cyclone,Eragama,Ampara,12,22,9.1,1
Cyclone,Sayinthamarathu,Ampara,12,20,9.1,1
Cyclone,Annamalai,Ampara,5,28,7.5,1
Cyclone,Annamalai,Ampara,3,6,6.6,1
Cyclone,Sorikalmunai Central Camp,Ampara,10,11,6.2,1
Cyclone,Kudagama,Ampara,7,15,9.6,1
Cyclone,Muwapetikewela,Ampara,4,16,5.7,1
Cyclone,Tempitiya,Ampara,7,1,9.6,1
Cyclone,Damana,Ampara,10,19,6.2,0
Cyclone,Damana,Ampara,10,17,6.2,0
Cyclone,Akkaraipattukarunkoditivu,Ampara,9,27,7.7,0
Cyclone,Padiyathalawa,Ampara,5,25,7.5,1
Cyclone,Padiyathalawa,Ampara,5,13,7.5,1
Cyclone,Thirukkovil,Ampara,8,20,8.9,1
Cyclone,Kalmunai,Ampara,12,25,9.1,0
Cyclone,Thirukkovil,Ampara,9,7,7.7,0
Cyclone,Thirukkovil,Ampara,7,4,9.6,1
Cyclone,Akkaraipattukarunkoditivu,Ampara,1,30,9.6,0
Cyclone,Akkaraipattukarunkoditivu,Ampara,6,27,9.7,1
Cyclone,Akkaraipattukarunkoditivu,Ampara,1,27,9.6,1
Cyclone,Kalmunai Muslim Section,Ampara,12,26,9.1,1
Cyclone,Sangamam,Ampara,9,20,7.7,1
Cyclone,Pulliyanpathai,Ampara,8,1,8.9,1
Cyclone,Thirukkovil,Ampara,6,14,9.7,1
Cyclone,Ampara,Ampara,6,14,9.7,1
Cyclone,Damana,Ampara,6,14,9.7,1
Cyclone,Addalachchenai,Ampara,11,10,7.1,0
Cyclone,Navithanveli,Ampara,5,22,7.5,0
