Disaster,Location,District,Month,Day,Rainfall(mm),Flood
Flood,Sainthamarathu,Ampara,12,5,553.1,0
Flood,Dehiattakandiya,Ampara,12,18,430.5,1
Flood,Ampara,Ampara,11,18,406.8,1
Flood,Damana,Ampara,5,1,165.0,1
Flood,Kalmunai,Ampara,12,19,553.1,0
Flood,Karativu,Ampara,12,30,553.1,0
Flood,Thirukkovil,Ampara,12,21,553.1,0
Flood,Ninthavur,Ampara,12,20,553.1,0
Flood,Akkaraipattukarunkoditivu,Ampara,12,19,553.1,0
Flood,Alayadiwembu,Ampara,12,19,553.1,0
Flood,Lahugala,Ampara,12,27,553.1,0
Flood,Dehiattakandiya,Ampara,11,18,406.8,1
Flood,Sangamam,Ampara,5,1,165.0,1
Flood,Sangamam,Ampara,12,26,553.1,1
Flood,Sainthamarathu,Ampara,5,11,165.0,1
Flood,Karativu,Ampara,12,25,553.1,1
Flood,Ninthavur,Ampara,10,12,304.5,1
Flood,Ninthavur,Ampara,5,11,165.0,1
Flood,Samanthurai,Ampara,5,13,30.9,1
Flood,Samanthurai,Ampara,1,25,433.9,1
Flood,Alayadiwembu,Ampara,1,25,433.9,1
Flood,Sayinthamarathu,Ampara,1,25,433.9,1
Flood,Ampara,Ampara,2,4,207.6,1
Flood,Uhana,Ampara,12,18,430.5,1
Flood,Damana,Ampara,12,18,430.5,1
Flood,Thirukkovil,Ampara,12,18,430.5,1
Flood,Thirukkovil,Ampara,2,7,207.6,0
Flood,Pothuvil,Ampara,2,29,207.6,0
Flood,Mahaoya,Ampara,12,23,430.5,0
Flood,Dehiattakandiya,Ampara,12,9,430.5,0
Flood,Uhana,Ampara,12,13,430.5,0
Flood,Damana,Ampara,12,23,430.5,0
Flood,Thirukkovil,Ampara,12,15,430.5,0
Flood,Lahugala,Ampara,2,23,207.6,0
Flood,Thirukkovil,Ampara,11,11,406.8,0
Flood,Akkaraipattukarunkoditivu,Ampara,11,13,406.8,0
Flood,Akkaraipattukarunkoditivu,Ampara,1,25,433.9,1
Flood,Pothuvil,Ampara,12,15,430.5,0
Flood,Kadirapura,Ampara,11,18,406.8,1
Flood,Damana,Ampara,12,13,553.1,0
Flood,Senanayakapura,Ampara,11,18,406.8,1
Flood,Senanayakapura,Ampara,4,2,115.9,1
Flood,Ninthavur,Ampara,12,18,553.1,1
Flood,Kalmunai,Ampara,11,4,406.8,0
Flood,Pothuvil,Ampara,10,9,133.0,1
Flood,Pothuvil,Ampara,10,7,133.0,0
Flood,Ampara,Ampara,12,18,430.5,1
Flood,Pothuvil,Ampara,12,18,430.5,1
Flood,Ampara,Ampara,12,19,430.5,0
Flood,Akkaraipattukarunkoditivu,Ampara,2,20,207.6,0
Flood,Addalachchenai,Ampara,1,25,433.9,1
Flood,Ampara,Ampara,1,25,433.9,1
Flood,Pothuvil,Ampara,3,18,78.3,0
Flood,Samanthurai,Ampara,3,23,78.3,0
Flood,Thirukkovil,Ampara,3,18,78.3,0
Flood,Sammanthurai,Ampara,5,11,165.0,1
Flood,Alayadiwembu,Ampara,6,1,69.6,1
Flood,All District,Ampara,9,16,52.5,0
Flood,Kolavil,Ampara,4,19,115.9,1
Flood,Pansalgoda,Ampara,1,25,271.1,0
Flood,Dewalagoda,Ampara,1,10,271.1,0
Flood,Alayadiwembu,Ampara,9,26,172.5,1
Flood,Akkaraipattukarunkoditivu,Ampara,11,20,406.8,1
Flood,Panama South,Ampara,1,13,271.1,0
Flood,Panama North,Ampara,1,29,271.1,0
Flood,Panama West,Ampara,1,4,271.1,0
Flood,Perani Lahugala,Ampara,1,23,271.1,0
Flood,Shasthrawela,Ampara,1,29,271.1,0
Flood,Komarie,Ampara,1,19,271.1,0
Flood,Kalappukaddu,Ampara,1,12,271.1,0
Flood,Sammanthurai,Ampara,12,25,553.1,1
Flood,Hulannuga,Ampara,12,17,553.1,1
Flood,Panama,Ampara,1,14,271.1,1
Flood,Komarie,Ampara,10,12,304.5,1
Flood,Addalachchenai,Ampara,3,5,78.3,0
Flood,Karativu,Ampara,3,20,78.3,0
Flood,Alayadiwembu,Ampara,3,9,78.3,0
Flood,Uhana,Ampara,1,25,433.9,1
Flood,Damana,Ampara,1,30,271.1,0
Flood,Ampara,Ampara,1,30,271.1,0
Flood,Pothuvil,Ampara,1,25,271.1,0
Flood,Senanayakapura,Ampara,4,30,115.9,0
Flood,Senanayakapura,Ampara,11,23,406.8,0
Flood,Thirukkovil,Ampara,1,14,271.1,0
Flood,All District,Ampara,8,16,10.1,0
Flood,Kadirapura,Ampara,11,9,406.8,0
Flood,Kalmunai Muslim Section,Ampara,5,1,165.0,1
Flood,Ninthavur,Ampara,12,22,553.1,0
Flood,Samanthurai,Ampara,1,8,271.1,0
Flood,Annamalai,Ampara,1,24,271.1,1
Flood,Uhana,Ampara,11,25,458.9,1
Flood,Lahugala,Ampara,11,25,458.9,1
Flood,Eragama,Ampara,11,25,458.9,1
Flood,Pothuvil,Ampara,11,25,458.9,1
Flood,Ampara,Ampara,11,25,458.9,1
Flood,Sayinthamarathu,Ampara,3,5,78.3,0
Flood,Akkaraipattukarunkoditivu,Ampara,3,1,78.3,0
Flood,Annamalai,Ampara,10,12,304.5,1
Flood,Kalmunai Tamil,Ampara,3,5,78.3,0
Flood,Karativu,Ampara,1,27,271.1,0
Flood,Addalachchenai,Ampara,2,3,207.6,0
Flood,Damana,Ampara,2,16,207.6,0
Flood,All District,Ampara,9,21,52.5,1
Flood,Annamalai,Ampara,12,15,553.1,0
Flood,Samanthurai,Ampara,5,14,30.9,0
Flood,Annamalai,Ampara,12,24,553.1,0
Flood,Annamalai,Ampara,12,10,553.1,0
Flood,Damana,Ampara,12,10,553.1,1
Flood,Annamalai,Ampara,12,4,553.1,0
Flood,Annamalai,Ampara,12,7,553.1,0
Flood,Annamalai,Ampara,12,19,553.1,0
Flood,Annamalai,Ampara,12,16,553.1,0
Flood,Damana,Ampara,1,5,271.1,1
Flood,Padiyathalawa,Ampara,1,6,271.1,1
Flood,Senagama,Ampara,11,25,458.9,1
Flood,Panama,Ampara,11,25,458.9,1
Flood,Varipathanchenai,Ampara,11,25,458.9,1
Flood,Padiyathalawa,Ampara,12,20,553.1,1
Flood,Komarie,Ampara,11,25,458.9,1
Flood,Karativu,Ampara,11,25,458.9,1
Flood,Senanayakapura,Ampara,11,25,458.9,1
Flood,Lahugala,Ampara,12,21,553.1,1
Flood,Sangamam,Ampara,5,25,165.0,0
Flood,Peranigama,Ampara,6,9,69.6,0
Flood,Paranagama,Ampara,12,7,553.1,0
Flood,Paranagama,Ampara,12,8,553.1,0
Flood,Dehiattakandiya,Ampara,12,10,553.1,1
Flood,Pothuvil,Ampara,11,18,406.8,1
Flood,Navithanveli,Ampara,11,19,406.8,0
Flood,Navithanveli,Ampara,11,28,406.8,0
Flood,Annamalai,Ampara,1,3,271.1,0
Flood,Annamalai,Ampara,1,18,271.1,0
Flood,Annamalai,Ampara,1,14,271.1,0
Flood,Annamalai,Ampara,1,17,271.1,0
Flood,Ninthavur,Ampara,12,16,553.1,0
Flood,Annamalai,Ampara,1,1,271.1,0
Flood,Annamalai,Ampara,1,22,271.1,0
Flood,Annamalai,Ampara,1,26,271.1,0
Flood,Mahaoya,Ampara,1,10,271.1,0
Flood,Annamalai,Ampara,1,29,271.1,0
Flood,A Colony,Ampara,4,22,115.9,0
Flood,Galkanda,Ampara,7,18,80.1,0
Flood,Kalmunai,Ampara,12,26,553.1,1
Flood,Mahaoya,Ampara,11,26,406.8,0
Flood,Samagipura,Ampara,12,11,553.1,0
Flood,Mahaoya,Ampara,12,28,553.1,0
Flood,Paranagama,Ampara,12,28,553.1,0
Flood,Addalachchenai,Ampara,12,26,553.1,1
Flood,Akkaraipattukarunkoditivu,Ampara,12,26,553.1,1
Flood,Alayadiwembu,Ampara,12,26,553.1,1
Flood,Annamalai,Ampara,1,24,271.1,0
Flood,Thikkanagar,Ampara,10,12,304.5,1
Flood,Mahaoya,Ampara,11,20,406.8,0
Flood,Mahaoya,Ampara,3,23,78.3,0
Flood,Akkaraipattu,Ampara,11,18,406.8,1
Flood,Kalmunai Muslim Section,Ampara,11,18,406.8,1
Flood,Navithanveli,Ampara,1,24,271.1,1
Flood,Akkaraipattukarunkoditivu,Ampara,12,24,553.1,0
Flood,Addalachchenai,Ampara,12,9,553.1,0
Flood,Addalachchenai,Ampara,12,20,553.1,0
Flood,Kalmunai,Ampara,1,5,271.1,1
Flood,Dehiattakandiya,Ampara,11,8,406.8,0
Flood,All District,Ampara,8,2,10.1,1
Flood,Ninthavur,Ampara,11,5,406.8,1
Flood,Sangamam,Ampara,11,18,406.8,1
Flood,Ninthavur,Ampara,12,10,553.1,1
Flood,Kalmunai Muslim Section,Ampara,10,12,304.5,1
Flood,Karativu,Ampara,10,12,304.5,1
Flood,Sangamam,Ampara,10,12,304.5,1
Flood,Ninthavur,Ampara,10,12,304.5,1
Flood,Akkaraipattu,Ampara,10,12,304.5,1
Flood,Kolavil,Ampara,10,12,304.5,1
Flood,Panama,Ampara,10,12,304.5,1
Flood,Kalmunai,Ampara,12,15,553.1,0
Flood,Thirukkovil,Ampara,12,26,553.1,1
Flood,Thirukkovil,Ampara,1,5,271.1,1
Flood,Sayinthamarathu,Ampara,11,5,406.8,1
Flood,Pulungasmulla,Ampara,12,20,553.1,1
Flood,Panama,Ampara,1,2,271.1,1
Flood,Sangamam,Ampara,4,2,115.9,1
Flood,Samanthurai,Ampara,12,25,553.1,1
Flood,Alayadiwembu,Ampara,4,19,115.9,1
Flood,Alayadiwembu,Ampara,1,6,271.1,1
Flood,Ampara,Ampara,2,22,207.6,0
Flood,Samanthurai,Ampara,11,5,406.8,1
Flood,Ampara,Ampara,11,14,406.8,0
Flood,Sayinthamarathu,Ampara,12,23,553.1,0
Flood,Kalappukaddu,Ampara,1,14,271.1,1
Flood,Komarie,Ampara,1,14,271.1,1
Flood,Shasthrawela,Ampara,1,14,271.1,1
Flood,Komarie,Ampara,4,2,115.9,1
Flood,Perani Lahugala,Ampara,1,14,271.1,1
Flood,Panama North,Ampara,1,14,271.1,1
Flood,Panama South,Ampara,1,14,271.1,1
Flood,Dewalagoda,Ampara,1,14,271.1,1
Flood,Pansalgoda,Ampara,1,14,271.1,1
Flood,Alayadiwembu,Ampara,12,12,553.1,0
Flood,Pothuvil,Ampara,12,10,553.1,1
Flood,Navithanveli,Ampara,12,10,553.1,1
Flood,Damana,Ampara,4,2,115.9,1
Flood,Thikkanagar,Ampara,4,2,115.9,1
Flood,Akkaraipattu,Ampara,4,2,115.9,1
Flood,Panama West,Ampara,1,14,271.1,1
Flood,Miriswatta,Ampara,6,1,69.6,1
Flood,Galmaduwa,Ampara,5,1,165.0,1
Flood,Galkanda,Ampara,10,12,304.5,1
Flood,Panama,Ampara,1,28,271.1,0
Flood,Komarie,Ampara,4,8,115.9,0
Flood,Sangamam,Ampara,4,8,115.9,0
Flood,Mahaoya,Ampara,12,27,553.1,1
Flood,Mahaoya,Ampara,12,13,553.1,1
Flood,Mahaoya,Ampara,12,22,553.1,1
Flood,Mahaoya,Ampara,11,4,406.8,1
Flood,Uhana,Ampara,1,5,271.1,1
Flood,Uhana,Ampara,4,13,115.9,1
Flood,Ampara,Ampara,5,29,165.0,1
Flood,Ampara,Ampara,3,4,78.3,1
Flood,Ampara,Ampara,3,10,78.3,1
Flood,Damana,Ampara,1,7,271.1,1
Flood,Damana,Ampara,4,19,115.9,1
Flood,Akkaraipattu,Ampara,4,30,115.9,0
Flood,Thikkanagar,Ampara,4,19,115.9,0
Flood,Damana,Ampara,4,11,115.9,0
Flood,Thikkanagar,Ampara,10,18,304.5,0
Flood,Navithanveli,Ampara,10,1,304.5,1
Flood,Hulannuge,Ampara,1,15,271.1,0
Flood,Navithanveli,Ampara,1,11,271.1,1
Flood,Panama,Ampara,1,18,271.1,0
Flood,Sangamam,Ampara,11,13,406.8,0
Flood,Akkaraipattu,Ampara,11,22,406.8,0
Flood,Kalmunai Muslim Section,Ampara,11,20,406.8,0
Flood,Mahaoya,Ampara,3,12,78.3,1
Flood,Alayadiwembu,Ampara,12,10,553.1,1
Flood,Karativu,Ampara,12,10,553.1,1
Flood,Thirukkovil,Ampara,12,10,553.1,1
Flood,Sayinthamarathu,Ampara,12,10,553.1,1
Flood,Navithanveli,Ampara,12,26,553.1,1
Flood,Dehiattakandiya,Ampara,12,27,553.1,1
Flood,Dehiattakandiya,Ampara,3,8,78.3,1
Flood,Mahaoya,Ampara,2,4,207.6,1
Flood,Padiyathalawa,Ampara,9,6,172.5,0
Flood,Kalmunai,Ampara,1,8,271.1,1
Flood,Mahaoya,Ampara,2,16,207.6,0
Flood,Dehiattakandiya,Ampara,1,7,271.1,0
Flood,Dehiattakandiya,Ampara,12,8,553.1,0
Flood,Karativu,Ampara,12,11,553.1,0
Flood,Ninthavur,Ampara,12,30,553.1,0
Flood,Mahaoya,Ampara,3,3,78.3,1
Flood,Mahaoya,Ampara,7,16,80.1,1
Flood,Karativu,Ampara,10,23,304.5,0
Flood,Mahaoya,Ampara,1,9,271.1,1
Flood,Mahaoya,Ampara,1,6,271.1,1
Flood,Kalmunai Muslim Section,Ampara,10,9,304.5,0
Flood,Damana,Ampara,1,11,271.1,0
Flood,Uhana,Ampara,12,1,553.1,1
Flood,Lahugala,Ampara,12,27,553.1,0
Flood,Uhana,Ampara,8,1,113.5,1
Flood,Mahaoya,Ampara,1,16,271.1,0
Flood,Mahaoya,Ampara,1,12,271.1,0
Flood,Mahaoya,Ampara,12,28,553.1,0
Flood,Mahaoya,Ampara,12,22,553.1,0
Flood,Padiyathalawa,Ampara,1,19,271.1,0
Flood,Padiyathalawa,Ampara,12,12,553.1,0
Flood,Mahaoya,Ampara,1,6,271.1,0
Flood,Mahaoya,Ampara,1,15,271.1,0
Flood,Uhana,Ampara,8,26,113.5,0
Flood,Uhana,Ampara,12,22,553.1,0
Flood,Mahaoya,Ampara,7,13,80.1,0
Flood,Mahaoya,Ampara,12,10,553.1,0
Flood,Navithanveli,Ampara,1,25,271.1,0
Flood,Navithanveli,Ampara,10,6,304.5,0
Flood,Damana,Ampara,4,14,115.9,0
Flood,Damana,Ampara,1,30,271.1,0
Flood,Ampara,Ampara,3,20,78.3,0
Flood,Ampara,Ampara,3,20,78.3,0
Flood,Ampara,Ampara,5,6,165.0,0
Flood,Uhana,Ampara,4,20,115.9,0
Flood,Uhana,Ampara,1,4,271.1,0
Flood,Mahaoya,Ampara,11,19,406.8,0
Flood,Kalmunai,Ampara,1,6,271.1,0
Flood,Ampara,Ampara,12,3,358.6,0
Flood,Mahaoya,Ampara,3,1,78.3,0
Flood,Dehiattakandiya,Ampara,3,3,78.3,0
Flood,Mahaoya,Ampara,1,4,271.1,1
Flood,Padiyathalawa,Ampara,12,21,553.1,1
Flood,Padiyathalawa,Ampara,1,25,271.1,1
Flood,Ninthavur,Ampara,4,19,115.9,1
Flood,Eragama,Ampara,10,15,304.5,1
Flood,Eragama,Ampara,12,8,553.1,1
Flood,Eragama,Ampara,12,18,553.1,1
Flood,Ninthavur,Ampara,12,25,553.1,1
Flood,Ninthavur,Ampara,3,12,78.3,1
Flood,Ninthavur,Ampara,1,7,271.1,1
Flood,Mahaoya,Ampara,2,25,207.6,0
Flood,Ninthavur,Ampara,12,8,553.1,0
Flood,Pothuvil,Ampara,1,14,271.1,1
Flood,Eragama,Ampara,1,7,271.1,1
Flood,Eragama,Ampara,12,16,553.1,1
Flood,Ninthavur,Ampara,4,2,115.9,0
Flood,Samanthurai,Ampara,11,15,406.8,1
Flood,Eragama,Ampara,10,28,304.5,1
Flood,Eragama,Ampara,9,6,172.5,1
Flood,Eragama,Ampara,1,28,271.1,1
Flood,Navithanveli,Ampara,12,22,553.1,0
Flood,Dehiattakandiya,Ampara,12,20,553.1,0
Flood,Pothuvil,Ampara,12,17,553.1,1
Flood,Navithanveli,Ampara,11,5,406.8,0
Flood,Damana,Ampara,12,17,358.6,0
Flood,Sainthamarathu,Ampara,3,6,78.3,0
Flood,Lahugala,Ampara,12,17,658.9,0
Flood,Mahaoya,Ampara,12,27,658.9,0
Flood,Dehiattakandiya,Ampara,12,22,658.9,0
Flood,Thirukkovil,Ampara,12,15,658.9,0
Flood,Padiyathalawa,Ampara,12,26,658.9,0
Flood,Damana,Ampara,12,7,658.9,0
Flood,Lahugala,Ampara,1,14,271.1,1
Flood,Bogamuyaya,Ampara,12,3,553.1,1
Flood,Komarie,Ampara,11,18,406.8,1
Flood,Karativu,Ampara,11,18,406.8,1
Flood,Kolavil,Ampara,12,26,553.1,1
Flood,Akkaraipattu,Ampara,12,26,553.1,1
Flood,Eragama,Ampara,1,13,271.1,0
Flood,Eragama,Ampara,9,22,172.5,0
Flood,Eragama,Ampara,10,11,304.5,0
Flood,Thikkanagar,Ampara,12,26,553.1,1
Flood,Kalmunai Muslim Section,Ampara,12,26,553.1,1
Flood,Damana,Ampara,12,17,553.1,1
Flood,Sayinthamarathu,Ampara,12,16,553.1,1
Flood,Samanthurai,Ampara,11,25,406.8,0
Flood,Eragama,Ampara,12,10,553.1,0
Flood,Addalachchenai,Ampara,12,19,658.9,0
Flood,Damana,Ampara,12,11,658.9,0
Flood,Navithanveli,Ampara,12,10,658.9,0
Flood,Kalmunai,Ampara,12,9,658.9,0
Flood,Mawanagama,Ampara,10,12,304.5,1
Flood,Sayinthamarathu,Ampara,11,20,406.8,0
Flood,Karativu,Ampara,1,19,271.1,0
Flood,Lahugala,Ampara,12,26,553.1,0
Flood,Lahugala,Ampara,1,24,271.1,0
Flood,Damana,Ampara,5,29,165.0,0
Flood,Ampara,Ampara,12,29,658.9,0
Flood,Ninthavur,Ampara,12,8,658.9,0
Flood,Akkaraipattukarunkoditivu,Ampara,12,21,658.9,0
Flood,Alayadiwembu,Ampara,12,4,658.9,0
Flood,Eragama,Ampara,1,11,271.1,0
Flood,Sainthamarathu,Ampara,10,3,304.5,0
Flood,Karativu,Ampara,10,11,304.5,0
Flood,Kolavil,Ampara,10,30,304.5,0
Flood,Ninthavur,Ampara,10,9,304.5,0
Flood,Kalmunai Tamil,Ampara,12,27,658.9,0
Flood,Sayinthamarathu,Ampara,12,2,658.9,0
Flood,Pothuvil,Ampara,12,9,658.9,0
Flood,Karativu,Ampara,12,27,658.9,0
Flood,Uhana,Ampara,12,8,658.9,0
Flood,Samanthurai,Ampara,12,4,658.9,0
Flood,Eragama,Ampara,12,15,658.9,0
Flood,Sangamam,Ampara,10,18,304.5,0
Flood,Pothuvil,Ampara,1,20,271.1,0
Flood,Pothuvil,Ampara,12,10,553.1,0
Flood,Ninthavur,Ampara,1,1,271.1,0
Flood,Pothuvil,Ampara,3,12,78.3,1
Flood,Samanthurai,Ampara,3,12,78.3,1
Flood,Thirukkovil,Ampara,3,12,78.3,1
Flood,Sainthamarathu,Ampara,10,12,304.5,1
Flood,Panama,Ampara,10,23,304.5,0
Flood,Kolavil,Ampara,10,13,304.5,0
Flood,Akkaraipattu,Ampara,10,15,304.5,0
Flood,Karativu,Ampara,12,26,553.1,1
Flood,Ninthavur,Ampara,12,26,553.1,1
Flood,Sangamam,Ampara,10,12,304.5,1
Flood,Addalachchenai,Ampara,3,12,78.3,1
Flood,Ninthavur,Ampara,10,29,304.5,0
Flood,Karativu,Ampara,10,12,304.5,1
Flood,Kolavil,Ampara,10,12,304.5,1
Flood,Sayinthamarathu,Ampara,11,3,406.8,1
Flood,Ninthavur,Ampara,10,12,304.5,1
Flood,Ninthavur,Ampara,10,27,304.5,0
Flood,Lahugala,Ampara,1,6,271.1,1
Flood,Addalachchenai,Ampara,1,6,271.1,1
Flood,Akkaraipattukarunkoditivu,Ampara,1,8,271.1,1
Flood,Alayadiwembu,Ampara,1,6,271.1,1
Flood,Karativu,Ampara,1,27,271.1,0
Flood,Sangamam,Ampara,10,18,304.5,0
Flood,Ninthavur,Ampara,12,10,553.1,1
Flood,Karativu,Ampara,3,12,78.3,1
Flood,Kalmunai Tamil,Ampara,3,12,78.3,1
Flood,Kolavil,Ampara,6,27,69.6,0
Flood,Thurendimadu,Ampara,8,25,113.5,0
Flood,Thikkanagar,Ampara,6,19,69.6,0
Flood,Panama,Ampara,6,22,69.6,0
Flood,Ampara,Ampara,1,8,271.1,1
Flood,Pothuvil,Ampara,1,6,271.1,1
Flood,Ninthavur,Ampara,3,19,78.3,0
Flood,Eragama,Ampara,12,7,553.1,0
Flood,Eragama,Ampara,12,25,553.1,0
Flood,Dorakumbura,Ampara,3,9,78.3,1
Flood,Alayadiwembu,Ampara,3,12,78.3,1
Flood,Mahaoya,Ampara,1,2,271.1,1
Flood,Mawanagama,Ampara,1,18,271.1,1
Flood,Mawanagama,Ampara,12,20,553.1,1
Flood,Mawanagama,Ampara,11,18,406.8,1
Flood,Eragama,Ampara,10,17,304.5,0
Flood,Thirukkovil,Ampara,1,8,271.1,1
Flood,Samanthurai,Ampara,1,6,271.1,1
Flood,Karativu,Ampara,1,8,271.1,1
Flood,Sayinthamarathu,Ampara,3,12,78.3,1
Flood,Akkaraipattukarunkoditivu,Ampara,3,12,78.3,1
Flood,Ninthavur,Ampara,12,20,553.1,0
Flood,Peranigama,Ampara,6,1,69.6,1
Flood,Navithanveli,Ampara,11,15,406.8,0
Flood,Dorakumbura,Ampara,3,12,78.3,0
Flood,Natpiddymunai,Ampara,8,5,113.5,0
Flood,Addalachchenai,Ampara,11,8,406.8,0
Flood,Ninthavur,Ampara,11,14,406.8,0
Flood,Karativu,Ampara,11,7,406.8,0
Flood,Kalmunai Tamil,Ampara,11,19,406.8,0
Flood,Akkaraipattukarunkoditivu,Ampara,12,23,553.1,0
Flood,Pothuvil,Ampara,12,21,553.1,0
Flood,Thirukkovil,Ampara,11,19,406.8,0
Flood,Sammanthurai,Ampara,11,29,406.8,0
Flood,Virippattanchenai,Ampara,7,11,80.1,0
Flood,Virippattanchenai,Ampara,7,4,80.1,0
Flood,Jaladeen Square Hidayapuram,Ampara,1,8,271.1,0
Flood,Pakkiyawatta,Ampara,12,25,553.1,0
