Disaster,Location,District,Month,Day,Rainfall(mm),Landslide
Landslide,Rankethgama,Anuradhapura,11,8,237.5,0
Landslide,Nochchiyagama,Anuradhapura,11,27,237.5,0
Landslide,Rankethgama,Anuradhapura,11,23,237.5,0
Landslide,Rankethgama,Anuradhapura,11,4,237.5,0
Landslide,Nochchiyagama,Anuradhapura,11,19,237.5,1
Landslide,Nochchiyagama,Anuradhapura,11,17,237.5,1
Landslide,Nochchiyagama,Anuradhapura,11,18,237.5,1
Landslide,Nochchiyagama,Anuradhapura,11,11,237.5,0
Landslide,Rankethgama,Anuradhapura,11,18,237.5,1
Landslide,Rankethgama,Anuradhapura,11,19,237.5,1
Landslide,Rankethgama,Anuradhapura,11,17,237.5,1
Landslide,Nochchiyagama,Anuradhapura,11,26,237.5,0
Landslide,Bubula,Badulla,12,8,223.0,0
Landslide,Udawela,Badulla,9,23,130.0,0
Landslide,Haliela,Badulla,12,8,223.0,0
Landslide,Ambagahadurawa,Badulla,12,12,223.0,0
Landslide,Idamegama,Badulla,12,9,223.0,0
Landslide,Idamegama,Badulla,4,9,169.0,0
Landslide,Kuttiyagolla,Badulla,10,17,280.0,0
Landslide,Pussellewa,Badulla,12,24,223.0,0
Landslide,Haliela,Badulla,1,24,139.0,0
Landslide,Kalawelpotha,Badulla,2,19,94.0,0
Landslide,Bandarawela,Badulla,11,27,279.0,1
Landslide,Uva Paranagama,Badulla,7,7,52.0,0
Landslide,Uva Paranagama,Badulla,12,4,223.0,0
Landslide,Narangala,Badulla,12,24,223.0,0
Landslide,Galauda,Badulla,12,24,223.0,0
Landslide,Kalupahana,Badulla,10,7,280.0,0
Landslide,Soranathota,Badulla,9,15,130.0,1
Landslide,Beragala,Badulla,11,24,279.0,0
Landslide,Koslanda,Badulla,12,9,223.0,0
Landslide,Marangahawala,Badulla,4,11,169.0,0
Landslide,Mirisabedda Watta,Badulla,4,11,169.0,0
Landslide,Poonagala,Badulla,11,28,279.0,0
Landslide,Haliela,Badulla,12,7,223.0,0
Landslide,Haldummulla,Badulla,3,28,88.0,1
Landslide,Balagolla,Badulla,8,9,74.0,0
Landslide,Ellanda,Badulla,5,16,141.0,0
Landslide,Batawatta,Badulla,12,14,223.0,0
Landslide,Alakolagala,Badulla,12,10,223.0,0
Landslide,Kottalbedda,Badulla,12,24,223.0,0
Landslide,Hoptan,Badulla,12,27,223.0,0
