District,1,2,3,4,5,6,7,8,9,10,11,12
Ratnapura,6.29,8.61,8.84,17.25,15.26,10.01,9.39,9.7,11.78,18.11,18.26,11.23
Kandy,3.15,5.29,5.11,11.72,9.76,3.73,4.6,4.79,6.9,15.14,12.45,7.53
Nuwara Eliya,4.19,3.86,3.87,8.17,7.0,5.97,6.0,6.23,7.73,12.06,11.03,7.58
Ampara,8.75,7.41,2.53,3.86,5.32,2.32,2.58,3.66,5.75,9.82,13.56,17.84
Colombo,2.0,2.46,4.19,8.43,12.32,6.2,4.03,3.68,7.87,11.9,10.33,5.42
Galle,2.45,2.11,2.52,5.37,9.39,8.6,7.29,7.03,8.2,9.0,8.67,5.0
Kegalle,2.0,2.07,2.87,6.57,6.61,7.8,7.06,6.35,6.7,12.06,10.47,5.03
Matara,3.58,3.11,3.58,6.43,7.65,6.73,5.48,5.48,6.77,8.65,10.17,6.58
Kurunegala,2.0,3.29,4.45,8.73,6.26,5.2,3.68,3.0,5.3,11.58,10.9,4.48
Puttalam,2.62,2.84,2.65,4.89,5.8,4.5,3.68,3.53,4.72,10.35,11.51,8.58
Vavuniya,4.42,3.32,3.32,6.07,3.77,2.73,3.65,3.81,4.5,9.87,11.13,7.58
Monaragala,4.42,3.32,3.32,6.07,3.77,2.73,3.65,3.81,4.5,9.87,11.13,7.58
Matale,2.9,2.54,2.94,6.83,4.29,3.7,3.68,3.52,3.73,11.0,10.2,5.97
Mullaitivu,3.42,1.79,1.16,1.63,2.65,1.6,2.03,3.26,5.3,12.29,15.2,10.35
Jaffna,2.53,2.82,1.81,3.13,3.78,1.92,1.83,2.63,3.35,10.83,13.59,9.47
Gampaha,0.94,1.29,1.77,3.73,6.58,7.7,5.71,6.77,5.1,7.23,5.8,4.48
Badulla,4.48,3.36,2.84,5.63,4.55,1.8,1.68,2.39,4.33,9.03,9.3,7.19
Polannaruwa,2.58,3.16,3.03,8.02,4.46,1.15,1.65,2.01,3.93,10.47,8.74,6.84
Kilinochchi,2.41,2.69,1.73,2.98,3.6,1.83,1.74,2.5,3.19,10.32,12.95,9.02
Mannar,2.41,2.69,1.72,2.98,3.6,1.83,1.74,2.5,3.19,10.3,12.93,9.01
Anuradhapura,2.34,2.86,2.75,7.26,4.04,1.04,1.49,1.82,3.56,9.48,7.92,6.19
Kaluthara,1.88,1.63,2.21,4.57,5.08,3.56,2.13,2.21,3.73,6.55,7.28,3.85
Batticaloa,5.84,3.43,1.94,2.2,1.71,0.83,0.81,1.1,1.7,5.23,9.7,9.84
Trincomalee,4.39,2.86,1.52,2.1,1.61,0.6,1.0,1.61,2.3,6.32,10.1,8.87
Hambantota,2.19,1.68,2.16,3.93,3.68,2.53,1.84,2.06,3.23,5.0,7.9,5.06
