Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Maimigoda,Ratnapura,2000,12,26,6.7,0
Cyclone,Udagama(GN),Ratnapura,2000,8,19,12.1,1
Cyclone,Budunwela(GN),Ratnapura,2000,9,8,11.2,1
Cyclone,Halpe(GN),Ratnapura,2000,9,8,11.2,1
Cyclone,Imbulpe(GN),Ratnapura,2000,7,21,12.5,1
Cyclone,Muttettuwegama(GN),Ratnapura,2000,7,18,12.5,1
Cyclone,Pinnawala(GN),Ratnapura,2000,11,7,6.1,1
Cyclone,Karagasthalawa(GN),Ratnapura,2000,8,7,12.1,1
Cyclone,Morahela(GN),Ratnapura,2000,7,7,12.5,1
Cyclone,Muttettuwegama(GN),Ratnapura,2000,7,7,12.5,1
Cyclone,Karagasthalawa(GN),Ratnapura,2000,3,7,4.1,1
Cyclone,Horowpothana (GN),Anuradhapura,2000,12,26,9.7,1
Cyclone,Medawachchiya Junction (GN),Anuradhapura,2000,12,26,9.7,1
Cyclone,Valachchenai(GN),Batticaloa,2000,12,26,11.0,1
Cyclone,Pallewela(GN),Ratnapura,2000,6,23,12.6,1
Cyclone,Alakolaella(GN),Ratnapura,2000,6,20,12.6,1
Cyclone,Welanhinna(GN),Ratnapura,2000,8,26,12.1,1
Cyclone,Wegapitiya(GN),Ratnapura,2000,7,6,12.5,1
Cyclone,Naluwela(GN),Ratnapura,2000,8,31,12.1,1
Cyclone,Imbulpe,Ratnapura,2000,2,23,5.0,0
Cyclone,Imbulpe,Ratnapura,2000,8,31,12.1,1
Cyclone,Thoduwawa South (GN),Puttalam,2000,10,20,11.0,1
Cyclone,Thoduwawa East (GN),Puttalam,2000,10,20,11.0,1
Cyclone,Imbulpe,Ratnapura,2000,8,26,12.1,0
Cyclone,Imbulpe,Ratnapura,2000,8,19,12.1,0
Cyclone,Imbulpe,Ratnapura,2000,8,9,12.1,0
Cyclone,Imbulpe,Ratnapura,2000,7,8,12.5,0
Cyclone,Imbulpe,Ratnapura,2000,7,7,12.5,0
Cyclone,Imbulpe,Ratnapura,2000,6,23,12.6,0
Cyclone,Imbulpe,Ratnapura,2000,6,20,12.6,0
Cyclone,Imbulpe,Ratnapura,2000,6,5,12.6,0
Cyclone,Imbulpe,Ratnapura,2000,6,4,12.6,0
Cyclone,Imbulpe,Ratnapura,2000,4,22,5.5,0
Cyclone,Imbulpe,Ratnapura,2000,3,7,4.1,0
Cyclone,Imbulpe,Ratnapura,2000,3,3,4.1,0
Cyclone,Kalmunai Muslim Section (GN),Ampara,2000,12,26,9.1,1
Cyclone,Karadiyamulla(GN),Ratnapura,2000,6,6,12.6,1
Cyclone,Wegapitiya(GN),Ratnapura,2000,5,6,10.1,1
Cyclone,Kanathiriyanwela(GN),Ratnapura,2000,4,6,5.5,1
Cyclone,Karaveddy East(GN),Jaffna,2000,12,26,14.2,1
Cyclone,Kumburupiddi North(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Porativu Pattu (Ellavul),Batticaloa,2000,12,26,11.0,0
Cyclone,Welikanda,Polannaruwa,2000,12,26,8.9,0
Cyclone,Chilaw,Puttalam,2000,12,26,12.3,0
Cyclone,Damana,Ampara,2000,12,26,9.1,0
Cyclone,Muwanwellegedara(GN),Kurunegala,2000,12,25,9.3,0
Cyclone,Udunowa (GN),Kurunegala,2000,12,25,9.3,0
Cyclone,Mahaoya(GN),Ampara,2000,4,10,5.7,1
Cyclone,Kiriella,Ratnapura,2000,11,17,6.1,0
Cyclone,Kiriella,Ratnapura,2000,2,25,5.0,0
Cyclone,Kallady Veloor(GN),Batticaloa,2000,12,26,11.0,1
Cyclone,Pulmoddi (GN)1,Trincomalee,2000,12,26,12.1,1
Cyclone,2,Trincomalee,2000,12,26,12.1,1
Cyclone,3,Trincomalee,2000,12,26,12.1,1
Cyclone,mollipothana(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Ilangathurai(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Alimnagar(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Annal nagar(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Pandeniya(GN),Ratnapura,2000,5,20,10.1,1
Cyclone,Pandeniya(GN),Ratnapura,2000,4,22,5.5,1
Cyclone,Thambuttegama,Anuradhapura,2000,12,26,9.7,1
Cyclone,Karachchi,Kilinochchi,2000,12,26,13.2,1
Cyclone,Oluganthota(GN),Ratnapura,2000,7,3,12.5,1
Cyclone,Karadiyamulla(GN),Ratnapura,2000,3,3,4.1,1
Cyclone,Rawanakanda(GN),Ratnapura,2000,1,3,6.6,1
Cyclone,Imbulpe,Ratnapura,2000,8,26,12.1,1
Cyclone,manampitiya(GN),Polannaruwa,2000,12,26,8.9,1
Cyclone,Paranagama(GN),Ampara,2000,5,1,7.5,1
Cyclone,Serupitiya(GN),Ampara,2000,5,1,7.5,1
Cyclone,Sadamadulla(GN),Ampara,2000,5,1,7.5,1
Cyclone,Ihala Puliyankulama(GN),Anuradhapura,2000,12,26,9.7,0
Cyclone,Dorakumbura(GN),Ampara,2000,12,26,9.1,0
Cyclone,Padavi Sri Pura(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Vendrasanpura(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Mamalgaha(GN),Ratnapura,2000,2,23,5.0,1
Cyclone,4,Trincomalee,2000,12,26,12.1,1
Cyclone,Imbulpe,Ratnapura,2000,8,19,12.1,1
Cyclone,Imbulpe,Ratnapura,2000,7,21,12.5,1
Cyclone,Galnewa,Anuradhapura,2000,12,28,9.7,1
Cyclone,Haputhalegama(GN),Badulla,2000,8,16,11.0,0
Cyclone,Ranjallawa(GN),Badulla,2000,8,16,11.0,0
Cyclone,Viharakele(GN),Badulla,2000,8,16,11.0,0
Cyclone,Pahala Kadurugamuwa(GN),Badulla,2000,6,8,11.5,0
Cyclone,Welanhinna(GN),Badulla,2000,9,27,9.7,0
Cyclone,Dodamwatta(GN),Badulla,2000,9,27,9.7,0
Cyclone,Viharakele(GN),Badulla,2000,9,27,9.7,0
Cyclone,Pahala Kadurugamuwa(GN),Badulla,2000,12,14,7.1,0
Cyclone,Imbulpe,Ratnapura,2000,2,23,5.0,1
Cyclone,Imbulpe,Ratnapura,2000,3,1,4.1,1
Cyclone,Imbulpe,Ratnapura,2000,3,3,4.1,1
Cyclone,Imbulpe,Ratnapura,2000,3,7,4.1,1
Cyclone,Imbulpe,Ratnapura,2000,4,22,5.5,1
Cyclone,Imbulpe,Ratnapura,2000,5,20,10.1,1
Cyclone,Padiyathalawa,Ampara,2000,12,26,9.1,1
Cyclone,Imbulpe,Ratnapura,2000,6,4,12.6,1
Cyclone,Dehiattakandiya,Ampara,2000,1,5,9.6,1
Cyclone,Gomarankadawala,Trincomalee,2000,12,26,12.1,1
Cyclone,Siyambalanduwa (GN),Monaragala,2000,10,20,6.9,0
Cyclone,Perakumpura (GN),Monaragala,2000,7,8,11.2,0
Cyclone,Helamulla (GN),Monaragala,2000,7,31,11.2,0
Cyclone,Kodayana (GN),Monaragala,2000,7,25,11.2,0
Cyclone,Dimbulagala,Polannaruwa,2000,12,26,8.9,1
Cyclone,Thambalagamuwa,Trincomalee,2000,12,26,12.1,1
Cyclone,Buddama (GN),Monaragala,2000,7,24,11.2,0
Cyclone,Liyangolla (GN),Monaragala,2000,5,7,8.8,0
Cyclone,Madugama (GN),Monaragala,2000,3,24,5.7,0
Cyclone,Wattegama (GN),Monaragala,2000,3,24,5.7,0
Cyclone,Trincomalee Town and Gravets,Trincomalee,2000,12,26,12.1,1
Cyclone,Verugal/ Echchalampattai,Trincomalee,2000,12,26,12.1,1
Cyclone,Seruvila,Trincomalee,2000,12,26,12.1,1
Cyclone,Kinniya,Trincomalee,2000,12,26,12.1,1
Cyclone,Kanthalai,Trincomalee,2000,12,26,12.1,1
Cyclone,Padavi Sri Pura,Trincomalee,2000,12,26,12.1,1
Cyclone,Imbulpe,Ratnapura,2000,6,5,12.6,1
Cyclone,Imbulpe,Ratnapura,2000,6,6,12.6,1
Cyclone,Imbulpe,Ratnapura,2000,6,7,12.6,1
Cyclone,Imbulpe,Ratnapura,2000,7,7,12.5,1
Cyclone,Maha Andarawewa(GN),Puttalam,2000,12,26,12.3,1
Cyclone,Kirimetiyawa(GN),Puttalam,2000,12,26,12.3,1
Cyclone,Moragahawewa(GN),Puttalam,2000,12,26,12.3,1
Cyclone,Manuwangama West(GN),Puttalam,2000,8,23,16.4,1
Cyclone,Manuwangama East (GN),Puttalam,2000,8,23,16.4,1
Cyclone,Thissogama(GN),Puttalam,2000,8,23,16.4,1
Cyclone,Weerapandiyana (GN),Puttalam,2000,12,26,12.3,1
Cyclone,Punchi Vilattawa (GN),Puttalam,2000,12,26,12.3,1
Cyclone,Mugunuwatawana,Puttalam,2000,12,26,12.3,1
Cyclone,Imbulpe,Ratnapura,2000,7,8,12.5,1
Cyclone,Imbulpe,Ratnapura,2000,7,11,12.5,1
Cyclone,Imbulpe,Ratnapura,2000,7,18,12.5,1
Cyclone,pahala Katuneriya,Puttalam,2000,12,26,12.3,1
Cyclone,katuneriya(GN2),Puttalam,2000,12,26,12.3,1
Cyclone,Milankulama(GN),Puttalam,2000,12,26,12.3,1
Cyclone,Mangalapura(GN),Puttalam,2000,12,26,12.3,1
Cyclone,Serakkuliya(GN),Puttalam,2000,12,26,12.3,1
Cyclone,Imbulpe,Ratnapura,2000,7,3,12.5,1
Cyclone,Imbulpe,Ratnapura,2000,6,20,12.6,1
Cyclone,Hingurakgoda,Polannaruwa,2000,12,26,8.9,1
Cyclone,Morawewa,Trincomalee,2000,12,26,12.1,1
Cyclone,Balangoda,Ratnapura,2000,8,18,12.1,0
Cyclone,Handagiriya(GN),Ratnapura,2000,10,7,8.2,1
Cyclone,Balangoda,Ratnapura,2000,8,11,12.1,0
Cyclone,Balangoda,Ratnapura,2000,7,2,12.5,0
Cyclone,Imbulpe,Ratnapura,2000,8,9,12.1,1
Cyclone,Balangoda,Ratnapura,2000,6,28,12.6,0
Cyclone,Kuchchaveli,Trincomalee,2000,12,26,12.1,1
Cyclone,Morawewa(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Mahadivulwewa(GN),Trincomalee,2000,12,26,12.1,0
Cyclone,Unagalavehera (GN),Polannaruwa,2000,12,26,8.9,0
Cyclone,Addalachchenai,Ampara,2000,12,26,9.1,1
Cyclone,Balangoda,Ratnapura,2000,6,30,12.6,0
Cyclone,Imbulpe,Ratnapura,2000,6,23,12.6,1
Cyclone,Manmunai North (Batti Town),Batticaloa,2000,12,26,11.0,1
Cyclone,Vavuniya(Tamil),Vavuniya,2000,12,26,10.1,1
Cyclone,thikkanagar,Ampara,2000,12,26,9.1,1
Cyclone,Ikiriwewa(GN),Anuradhapura,2000,12,12,9.7,1
Cyclone,Viharakele(GN),Badulla,2000,9,27,9.7,1
Cyclone,Magiripura(GN),Badulla,2000,12,14,7.1,1
Cyclone,Pahala Kadurugamuwa(GN),Badulla,2000,12,14,7.1,1
Cyclone,Bingethenna(GN),Badulla,2000,12,14,7.1,1
Cyclone,Embilipitiya,Ratnapura,2000,5,30,10.1,0
Cyclone,Medawachchiya,Anuradhapura,2000,12,26,9.7,0
Cyclone,Haputale,Badulla,2000,12,14,7.1,0
Cyclone,Embilipitiya,Ratnapura,2000,5,30,10.1,1
Cyclone,Galnewa,Anuradhapura,2000,12,26,9.7,0
Cyclone,Kothmale,Nuwara Eliya,2000,1,18,7.4,0
Cyclone,Damana,Ampara,2000,4,12,5.7,0
Cyclone,Samanthurai,Ampara,2000,4,12,5.7,0
Cyclone,Medagama(GN),Kurunegala,2000,12,25,9.3,1
Cyclone,Muwanwellegedara(GN),Kurunegala,2000,12,25,9.3,1
Cyclone,Wariyapola,Kurunegala,2000,12,25,9.3,0
Cyclone,Dodamwatta(GN),Badulla,2000,9,27,9.7,1
Cyclone,Udunowa (GN),Kurunegala,2000,12,25,9.3,1
Cyclone,Welanhinna(GN),Badulla,2000,9,27,9.7,1
Cyclone,Pahala kadurugamuwa(GN),Badulla,2000,7,8,11.5,1
Cyclone,Haputale,Badulla,2000,8,6,11.0,0
Cyclone,Haputale,Badulla,2000,9,27,9.7,0
