Disaster,Location,District,Year,Month,Day,Rainfall(mm),Flood
Flood,Siyambalanduwa,Monaragala,2000,9,11,135.0,0
Flood,Akkaraipattu(Karunkoditivu),Ampara,2000,12,26,553.1,0
Flood,Alayadiwembu,Ampara,2000,12,26,553.1,0
Flood,Rideemaliyadda,Badulla,2000,1,1,139.0,0
Flood,Thihagoda,Matara,2000,9,17,203.0,0
Flood,Malimbada,Matara,2000,9,17,203.0,0
Flood,Koralai Pattu North(Vakarai),Batticaloa,2000,11,19,291.0,0
Flood,Karativu,Ampara,2000,11,18,406.8,0
Flood,Addalachchenai,Ampara,2000,12,26,553.1,0
Flood,Pothuvil,Ampara,2000,11,18,406.8,0
Flood,Mannar Town,Mannar,2000,11,19,387.9,1
Flood,Padiyathalawa,Ampara,2000,12,20,553.1,0
Flood,Konketiyawa,Anuradhapura,2000,12,26,191.9,0
Flood,Bandara Ulpatha(GN),Anuradhapura,2000,12,26,191.9,0
Flood,Medawachchiya Junction (GN),Anuradhapura,2000,12,26,191.9,0
Flood,Kahatagasdigiliya,Anuradhapura,2000,12,26,191.9,0
Flood,Ihala Puliyankulama(GN),Anuradhapura,2000,12,26,191.9,0
Flood,Medirigiriya,Polannaruwa,2000,11,19,262.3,0
Flood,Annasiwewa,Anuradhapura,2000,12,26,191.9,0
Flood,Kalmunai,Ampara,2000,12,26,553.1,0
Flood,Dehiattakandiya,Ampara,2000,11,18,406.8,1
Flood,Marangala (GN),Ampara,2000,12,20,553.1,0
Flood,Galnewa,Anuradhapura,2000,12,26,191.9,1
Flood,Medawachchiya,Anuradhapura,2000,12,26,191.9,1
Flood,Koralai Pattu North(Vakarai),Batticaloa,2000,12,26,305.0,1
Flood,Eravur Pattu (Chenkalady),Batticaloa,2000,12,26,305.0,1
Flood,Porativu Pattu (Ellavul),Batticaloa,2000,12,26,305.0,1
Flood,Puttalam,Puttalam,2000,12,26,265.9,0
Flood,Madulla,Monaragala,2000,11,19,334.0,1
Flood,Veeranchenai(GN),Batticaloa,2000,12,26,305.0,0
Flood,Manmunai South - West (Peddipe,Batticaloa,2000,12,26,305.0,1
Flood,Mahiyanganaya,Badulla,2000,1,1,139.0,1
Flood,Ampara,Ampara,2000,2,4,207.6,1
Flood,Ampara,Ampara,2000,11,18,406.8,1
Flood,Lankapura,Polannaruwa,2000,11,19,262.3,1
Flood,Hingurakgoda,Polannaruwa,2000,11,19,262.3,1
Flood,Elahera,Polannaruwa,2000,11,19,262.3,1
Flood,Vanninagar(GN),Batticaloa,2000,12,26,305.0,0
Flood,Palugaswewa,Anuradhapura,2000,12,26,191.9,1
Flood,Horivila(GN),Anuradhapura,2000,12,26,191.9,0
Flood,Moragoda(GN),Anuradhapura,2000,12,26,191.9,0
Flood,Mannar Town,Mannar,2000,11,19,387.9,0
Flood,Padavi Sri Pura(GN),Trincomalee,2000,12,26,275.0,1
Flood,Senanayakapura(GN),Ampara,2000,11,18,406.8,0
Flood,Thalpotha (GN),Polannaruwa,2000,11,19,262.3,0
Flood,Unagalavehera (GN),Polannaruwa,2000,11,19,262.3,0
Flood,Kadirapura(GN),Ampara,2000,11,18,406.8,0
Flood,Lnginiyagala(GN),Monaragala,2000,11,19,334.0,0
Flood,Madulla,Monaragala,2000,11,19,334.0,0
Flood,Pesalai(GN),Mannar,2000,11,19,387.9,0
Flood,Wewmedagama(GN),Ampara,2000,11,18,406.8,1
Flood,Mawanagama(GN),Ampara,2000,11,18,406.8,1
Flood,Manampitiya(GN),Polannaruwa,2000,11,19,262.3,1
Flood,Eramudugoda(GN),Matara,2000,9,17,203.0,1
Flood,Ambalantota,Hambantota,2000,2,4,47.0,1
Flood,Sooriyawewa,Hambantota,2000,2,4,47.0,1
Flood,Karativu(GN),Ampara,2000,12,26,553.1,1
Flood,Sandunpura(GN),Ampara,2000,11,18,406.8,1
Flood,Eravur Town (Eravur),Batticaloa,2000,12,26,305.0,0
Flood,Dehiattakandiya,Ampara,2000,11,18,406.8,0
Flood,Hingurakgoda,Polannaruwa,2000,11,19,262.3,0
Flood,Thirukkovil,Ampara,2000,12,26,553.1,0
Flood,Mavadivembu(GN),Batticaloa,2000,12,26,305.0,0
Flood,Paddippalai(GN),Batticaloa,2000,12,26,305.0,0
Flood,Mapakadawewa(GN),Badulla,2000,1,1,139.0,0
Flood,Samapura(GN),Ampara,2000,4,2,115.9,0
Flood,Senanayakapura(GN),Ampara,2000,4,2,115.9,0
Flood,Samapura(GN),Ampara,2000,11,18,406.8,0
Flood,Elahera,Polannaruwa,2000,11,19,262.3,0
Flood,Padaviya,Anuradhapura,2000,12,26,191.9,0
Flood,Horowpothana,Anuradhapura,2000,12,26,191.9,0
Flood,Eravur Pattu (Chenkalady),Batticaloa,2000,12,26,305.0,0
Flood,Manmunai South - West (Peddipe,Batticaloa,2000,12,26,305.0,0
Flood,Mahiyanganaya,Badulla,2000,1,1,139.0,0
Flood,Ampara,Ampara,2000,2,4,207.6,0
Flood,Ampara,Ampara,2000,11,18,406.8,0
Flood,Lankapura,Polannaruwa,2000,11,19,262.3,0
Flood,Kebithigollewa,Anuradhapura,2000,12,26,191.9,0
Flood,Ninthavur(GN),Ampara,2000,12,26,553.1,1
Flood,Kekirawa,Anuradhapura,2000,12,26,191.9,1
Flood,Komarie (GN),Ampara,2000,11,18,406.8,0
Flood,thikkanagar,Ampara,2000,4,2,115.9,0
Flood,Komarie (GN),Ampara,2000,4,2,115.9,0
Flood,Lahugala,Ampara,2000,1,2,271.1,0
Flood,Panama(GN),Ampara,2000,1,2,271.1,0
Flood,Sangamam(GN),Ampara,2000,11,18,406.8,0
Flood,Akkaraipattu(GN),Ampara,2000,11,18,406.8,0
Flood,Kalmunai Muslim Section (GN),Ampara,2000,11,18,406.8,0
Flood,Damana,Ampara,2000,4,2,115.9,0
Flood,Paranthan Town(GN),Kilinochchi,2000,12,26,279.6,1
Flood,Mavadyamman(GN),Kilinochchi,2000,10,11,319.9,1
Flood,Jonepuram,Kilinochchi,2000,10,11,319.9,1
Flood,Palindanuwara,Kaluthara,2000,9,17,111.8,0
Flood,Eravur Town (Eravur),Batticaloa,2000,12,26,305.0,1
Flood,Thirukkovil,Ampara,2000,12,26,553.1,1
Flood,Padavi Sri Pura(GN),Trincomalee,2000,12,26,275.0,0
Flood,Damana,Ampara,2000,4,2,115.9,1
Flood,Punnaineeravi(GN),Kilinochchi,2000,12,26,279.6,1
Flood,thikkanagar,Ampara,2000,4,2,115.9,1
Flood,Jonepuram,Kilinochchi,2000,10,11,319.9,0
Flood,Paranthan Town(GN),Kilinochchi,2000,12,26,279.6,0
Flood,Kaluganga(GN),Matale,2000,5,12,133.0,0
Flood,Karadamulla(GN),Matale,2000,5,12,133.0,0
Flood,Kalmunai,Ampara,2000,12,26,553.1,1
Flood,Addalachchenai,Ampara,2000,12,26,553.1,1
Flood,Akkaraipattu(Karunkoditivu),Ampara,2000,12,26,553.1,1
Flood,Alayadiwembu,Ampara,2000,12,26,553.1,1
Flood,Rideemaliyadda,Badulla,2000,1,1,139.0,1
Flood,Punnaineeravi(GN),Kilinochchi,2000,12,26,279.6,0
Flood,Kamburupitiya,Matara,2000,9,17,203.0,1
Flood,Athuraliya,Matara,2000,9,17,203.0,1
Flood,Malimbada,Matara,2000,9,17,203.0,1
Flood,Koralai Pattu North(Vakarai),Batticaloa,2000,11,19,291.0,1
Flood,Karativu,Ampara,2000,11,18,406.8,1
Flood,Pothuvil,Ampara,2000,11,18,406.8,1
Flood,Medirigiriya,Polannaruwa,2000,11,19,262.3,1
Flood,Padiyathalawa,Ampara,2000,12,20,553.1,1
Flood,Thihagoda,Matara,2000,9,17,203.0,1
Flood,Kahambiliyawa (GN),Polannaruwa,2000,11,19,262.3,0
Flood,Akkaraipattu(GN),Ampara,2000,4,2,115.9,1
Flood,Komarie (GN),Ampara,2000,4,2,115.9,1
Flood,Nelumwewa(GN),Puttalam,2000,12,26,265.9,0
Flood,Padaviya,Anuradhapura,2000,12,26,191.9,1
Flood,Kebithigollewa,Anuradhapura,2000,12,26,191.9,1
Flood,Horowpothana,Anuradhapura,2000,12,26,191.9,1
Flood,Welikanda,Polannaruwa,2000,12,26,211.9,0
Flood,Kalmunai Muslim Section (GN),Ampara,2000,12,26,553.1,0
Flood,Akkaraipattu(GN),Ampara,2000,12,26,553.1,0
Flood,Puttalam South(GN),Puttalam,2000,12,26,265.9,0
Flood,Nagadeepa(GN),Badulla,2000,1,1,139.0,0
Flood,Galle Four Gravets,Galle,2000,9,17,246.0,0
Flood,Lenabatuwa(GN),Matara,2000,9,17,203.0,0
Flood,Watagedara(GN),Matara,2000,9,17,203.0,0
Flood,Kadduwa(GN),Matara,2000,9,17,203.0,0
Flood,Kekunawela(GN),Matara,2000,9,17,203.0,0
Flood,Vakarui(GN),Batticaloa,2000,11,19,291.0,0
Flood,Karativu(GN),Ampara,2000,11,18,406.8,0
Flood,Mulatiyana,Matara,2000,9,17,203.0,0
Flood,Sangamam(GN),Ampara,2000,4,2,115.9,1
Flood,Kamburawala(GN),Kaluthara,2000,9,17,111.8,0
Flood,Kahadoowa(GN),Galle,2000,10,18,279.0,0
Flood,Lahugala,Ampara,2000,1,2,271.1,1
Flood,Panama(GN),Ampara,2000,1,2,271.1,1
Flood,Sangamam(GN),Ampara,2000,11,18,406.8,1
Flood,Akkaraipattu(GN),Ampara,2000,11,18,406.8,1
Flood,Kalmunai Muslim Section (GN),Ampara,2000,11,18,406.8,1
