Disaster,Location,District,Year,Month,Day,Rainfall(mm),Flood
Flood,Kundumadu,Ampara,2008,6,1,69.6,1
Flood,Karativu,Ampara,2011,11,22,458.9,0
Flood,Ampara,Ampara,2011,11,19,458.9,0
Flood,Ninthavur,Ampara,2002,11,5,406.8,1
Flood,Ninthavur,Ampara,2001,12,10,553.1,1
Flood,Sayinthamarathu,Ampara,2002,11,5,406.8,1
Flood,Thirukkovil,Ampara,2000,12,26,553.1,1
Flood,Thirukkovil,Ampara,2003,1,5,271.1,1
Flood,Damana,Ampara,2003,5,1,165.0,1
Flood,Karativu,Ampara,2019,11,25,406.8,1
Flood,Kalmunai Tamil,Ampara,2019,11,25,406.8,1
Flood,Pothuvil,Ampara,2011,11,29,458.9,0
Flood,Akkaraipattukarunkoditivu,Ampara,2019,12,5,553.1,1
Flood,Thirukkovil,Ampara,2019,11,30,406.8,1
Flood,Ninthavur,Ampara,2019,12,4,553.1,1
Flood,Ampara,Ampara,2019,12,4,553.1,1
Flood,Pothuvil,Ampara,2013,10,9,133.0,1
Flood,Sayinthamarathu,Ampara,2019,12,4,553.1,1
Flood,Addalachchenai,Ampara,2019,12,4,553.1,1
Flood,Damana,Ampara,2019,12,3,553.1,1
Flood,Senanayakapura,Ampara,2013,1,25,433.9,1
Flood,Senagama,Ampara,2013,1,25,433.9,1
Flood,Lahugala,Ampara,2019,12,3,553.1,1
Flood,Pothuvil,Ampara,2019,12,5,553.1,1
Flood,Karativu,Ampara,2019,11,30,406.8,1
Flood,Eragama,Ampara,2011,11,29,458.9,0
Flood,Uhana,Ampara,2011,11,20,458.9,0
Flood,Ampara,Ampara,2013,1,16,433.9,0
Flood,Lahugala,Ampara,2006,12,21,553.1,1
Flood,Samanthurai,Ampara,2003,12,25,553.1,1
Flood,Uhana,Ampara,2013,1,2,433.9,0
Flood,Thurendimadu,Ampara,2008,8,30,113.5,0
Flood,Thikkanagar,Ampara,2008,6,16,69.6,0
Flood,Alayadiwembu,Ampara,2007,4,19,115.9,1
Flood,Alayadiwembu,Ampara,2005,1,6,271.1,1
