Disaster,Location,District,Year,Month,Day,Rainfall(mm),Landslide
Landslide,Rankethgama,Anuradhapura,2006,11,17,237.5,1
Landslide,Rankethgama,Anuradhapura,2006,11,20,237.5,0
Landslide,Rankethgama,Anuradhapura,2006,11,30,237.5,0
Landslide,Rankethgama,Anuradhapura,2006,11,18,237.5,1
Landslide,Nochchiyagama,Anuradhapura,2006,11,17,237.5,1
Landslide,Nochchiyagama,Anuradhapura,2006,11,19,237.5,1
Landslide,Rankethgama,Anuradhapura,2006,11,19,237.5,1
Landslide,Nochchiyagama,Anuradhapura,2006,11,18,237.5,1
Landslide,Nochchiyagama,Anuradhapura,2006,11,13,237.5,0
Landslide,Nochchiyagama,Anuradhapura,2006,11,20,237.5,0
Landslide,Nochchiyagama,Anuradhapura,2006,11,6,237.5,0
Landslide,Rankethgama,Anuradhapura,2006,11,9,237.5,0
Landslide,Udagama,Badulla,2007,12,14,223.0,1
Landslide,Andeniya,Badulla,2008,8,1,74.0,1
Landslide,Dikpitiya,Badulla,2008,9,1,130.0,1
Landslide,Morethota,Badulla,2007,12,14,223.0,1
Landslide,Glananor,Badulla,2007,12,21,223.0,1
Landslide,Bandarawela,Badulla,2006,10,20,280.0,1
Landslide,Gediyaroda,Badulla,2008,9,1,130.0,1
Landslide,Malangamuwa,Badulla,2008,12,3,223.0,1
Landslide,Yahalewela,Badulla,2006,11,27,279.0,1
Landslide,Nilathugoda,Badulla,2007,12,14,223.0,0
Landslide,Haliela,Badulla,2007,12,11,223.0,0
Landslide,Pattipola,Badulla,2007,12,14,223.0,1
Landslide,Bandarawela,Badulla,2006,11,9,279.0,1
Landslide,Welimada,Badulla,2006,12,8,223.0,0
Landslide,Karangahaulpatha,Badulla,2007,11,3,279.0,0
Landslide,Ulugala,Badulla,2003,9,25,130.0,0
Landslide,Wewegama,Badulla,2006,12,13,223.0,0
Landslide,Kotawera Pahalagama,Badulla,2006,12,26,223.0,0
Landslide,Pannalawela,Badulla,2006,12,29,223.0,0
Landslide,Paranagama,Badulla,2006,11,14,279.0,0
Landslide,Welimada,Badulla,2007,6,20,54.0,0
Landslide,Welimada,Badulla,2007,6,9,54.0,0
Landslide,Ambagasdoowa,Badulla,2007,11,20,279.0,0
Landslide,Sapugolla,Badulla,2007,9,17,130.0,0
Landslide,Maspanna,Badulla,2007,11,11,279.0,0
Landslide,Dimbulana,Badulla,2006,12,16,223.0,0
Landslide,Beraliyapola,Badulla,2006,12,18,223.0,0
Landslide,Ulugala,Badulla,2006,11,10,279.0,0
Landslide,Udaperuwa,Badulla,2006,11,11,279.0,0
Landslide,Kendagolla,Badulla,2006,6,29,54.0,0
Landslide,Bambarapana,Badulla,2006,12,21,223.0,0
Landslide,Bambarapana,Badulla,2006,12,23,223.0,0
Landslide,Alugolla,Badulla,2006,12,1,223.0,0
Landslide,Medawela,Badulla,2007,6,16,54.0,0
Landslide,Welimada,Badulla,2006,12,9,223.0,0
Landslide,Rideepana,Badulla,2008,7,30,52.0,1
Landslide,Bogahamaditta,Badulla,2008,12,15,223.0,1
Landslide,Hapuwalakumbura,Badulla,2008,3,13,88.0,1
Landslide,Kandana,Badulla,2008,3,13,88.0,1
Landslide,Dambewela,Badulla,2008,8,2,74.0,1
Landslide,Koslanda,Badulla,2008,4,27,169.0,1
Landslide,Uduwara,Badulla,2007,12,4,223.0,0
Landslide,Uda Kohovila,Badulla,2008,8,25,74.0,0
Landslide,Haliela,Badulla,2008,3,11,88.0,0
Landslide,Kadana,Badulla,2008,3,23,88.0,0
Landslide,Uduwara,Badulla,2008,3,4,88.0,0
Landslide,Morethota,Badulla,2008,5,22,141.0,0
Landslide,Dikwella,Badulla,2008,3,25,88.0,0
Landslide,Anthuduwawela,Badulla,2008,3,3,88.0,0
Landslide,Urahella Watta,Badulla,2008,3,2,88.0,0
Landslide,Udagama West,Badulla,2008,1,9,139.0,0
Landslide,Udagama,Badulla,2008,3,9,88.0,0
Landslide,Ambathenna West,Badulla,2007,12,19,223.0,0
Landslide,Dambakote,Badulla,2008,3,28,88.0,0
Landslide,Kahataruppa,Badulla,2008,3,13,88.0,1
Landslide,Palawatta,Badulla,2008,3,13,88.0,1
Landslide,Viharagala,Badulla,2008,10,2,280.0,1
Landslide,Ranasinghagama,Badulla,2008,1,3,139.0,1
Landslide,Godegama,Badulla,2008,3,13,88.0,1
Landslide,Paranagama,Badulla,2007,5,9,141.0,0
Landslide,Unagolla,Badulla,2008,3,13,88.0,1
Landslide,Mugunumatha West,Badulla,2008,3,13,88.0,1
Landslide,Mugunumatha East,Badulla,2008,3,13,88.0,1
Landslide,Pattipola,Badulla,2008,3,13,88.0,1
Landslide,Hali Ela,Badulla,2008,3,13,88.0,1
Landslide,Mudunpita,Badulla,2008,3,14,88.0,1
Landslide,Samagipura,Badulla,2008,3,13,88.0,1
Landslide,Mahawattegama,Badulla,2008,3,13,88.0,1
Landslide,Mahawattegama,Badulla,2008,12,3,223.0,1
Landslide,Jagulla,Badulla,2008,2,15,94.0,1
Landslide,Singhepura,Badulla,2008,7,1,52.0,1
Landslide,Mahawattegama,Badulla,2008,4,1,169.0,1
Landslide,Ilukkaniggedara,Badulla,2007,12,24,223.0,1
Landslide,Kotabakma,Badulla,2008,11,20,279.0,1
Landslide,Bogahamaditta,Badulla,2008,3,13,88.0,1
Landslide,Welamedagama,Badulla,2006,12,10,223.0,0
Landslide,Wirahawatta,Badulla,2003,12,21,223.0,0
Landslide,Madugasthalawa,Badulla,2008,3,1,88.0,0
Landslide,Haldummulla,Badulla,2003,5,11,141.0,1
Landslide,Haldummulla,Badulla,2002,5,6,141.0,1
Landslide,Haputale,Badulla,2000,1,16,139.0,1
Landslide,Badulla,Badulla,2008,1,19,139.0,0
Landslide,Haputale,Badulla,2008,2,25,94.0,0
Landslide,Lunugala Town,Badulla,2007,11,30,279.0,0
Landslide,Alakolagala,Badulla,2007,11,8,279.0,0
Landslide,Colombobadulla Railway,Badulla,2000,1,21,139.0,0
Landslide,Koslanda,Badulla,2002,6,26,54.0,0
Landslide,Beragala,Badulla,2002,9,6,130.0,0
Landslide,Haldummulla,Badulla,2003,11,27,279.0,0
Landslide,Rendapola,Badulla,2004,12,10,223.0,0
Landslide,Alugolla,Badulla,2005,12,21,223.0,0
Landslide,Galkanda,Badulla,2006,11,22,279.0,0
Landslide,Mahakele,Badulla,2007,1,13,139.0,0
Landslide,Maspanna,Badulla,2007,2,12,94.0,0
Landslide,Wewegama,Badulla,2007,2,24,94.0,0
Landslide,Uva Paranagama,Badulla,2005,12,15,223.0,1
Landslide,Haputale,Badulla,2006,11,20,279.0,1
Landslide,Kandaketiya,Badulla,2007,1,15,139.0,1
Landslide,Uva Paranagama,Badulla,2007,1,2,139.0,1
