District,1,2,3,4,5,6,7,8,9,10,11,12
Ratnapura,0.21,0.18,0.13,0.18,0.33,0.42,0.4,0.39,0.37,0.26,0.2,0.22
Kandy,0.26,0.24,0.16,0.16,0.32,0.44,0.43,0.41,0.38,0.25,0.21,0.25
Nuwara Eliya,0.24,0.21,0.14,0.15,0.29,0.4,0.39,0.37,0.34,0.23,0.19,0.23
Ampara,0.31,0.29,0.21,0.19,0.24,0.32,0.31,0.29,0.26,0.2,0.24,0.29
Colombo,0.35,0.28,0.19,0.25,0.39,0.46,0.43,0.43,0.42,0.32,0.29,0.34
Galle,0.24,0.22,0.2,0.27,0.43,0.51,0.49,0.48,0.47,0.36,0.28,0.25
Kegalle,0.15,0.16,0.1,0.1,0.19,0.28,0.25,0.23,0.22,0.14,0.11,0.14
Matara,0.29,0.29,0.24,0.28,0.43,0.52,0.5,0.49,0.48,0.37,0.29,0.28
Kurunegala,0.32,0.29,0.18,0.19,0.36,0.48,0.46,0.45,0.42,0.28,0.25,0.3
Puttalam,0.41,0.38,0.26,0.27,0.46,0.58,0.55,0.53,0.51,0.35,0.34,0.4
Vavuniya,0.33,0.32,0.24,0.23,0.4,0.53,0.5,0.48,0.45,0.3,0.28,0.33
Monaragala,0.27,0.26,0.18,0.18,0.28,0.38,0.36,0.35,0.33,0.22,0.2,0.25
Matale,0.18,0.19,0.12,0.12,0.23,0.34,0.31,0.28,0.27,0.16,0.13,0.15
Mullaitivu,0.32,0.5,0.32,0.33,0.19,0.23,0.32,0.61,0.57,0.42,0.48,0.51
Jaffna,0.45,0.42,0.31,0.33,0.5,0.62,0.55,0.53,0.5,0.37,0.4,0.46
Gampaha,0.33,0.28,0.19,0.24,0.37,0.44,0.42,0.41,0.4,0.3,0.27,0.32
Badulla,0.24,0.22,0.15,0.15,0.27,0.38,0.37,0.35,0.32,0.21,0.19,0.23
Polannaruwa,0.3,0.29,0.21,0.2,0.34,0.49,0.48,0.45,0.4,0.27,0.24,0.29
Kilinochchi,0.41,0.39,0.29,0.29,0.47,0.61,0.55,0.53,0.49,0.35,0.37,0.43
Mannar,0.53,0.53,0.38,0.34,0.58,0.75,0.66,0.65,0.63,0.45,0.43,0.51
Anuradhapura,0.32,0.31,0.22,0.22,0.39,0.52,0.5,0.48,0.45,0.3,0.27,0.31
Kaluthara,0.25,0.21,0.17,0.24,0.37,0.45,0.43,0.42,0.41,0.31,0.26,0.26
Batticaloa,0.36,0.34,0.25,0.22,0.29,0.42,0.41,0.36,0.31,0.25,0.29,0.35
Trincomalee,0.39,0.37,0.28,0.28,0.43,0.59,0.56,0.53,0.47,0.34,0.34,0.39
Hambantota,0.34,0.39,0.27,0.25,0.43,0.55,0.53,0.52,0.49,0.34,0.24,0.29
